"","Region","Tax_C","Tax_P"
"1","Southern Asia",7.19761844590752,7.01066192077299
"2","Sub-Saharan Africa",12.0081940251748,18.6621150920102
"3","Europe",108.001408547282,110.160296095651
"4","Middle East",43.2524994179767,43.6686703478248
"5","Latin America and Caribbean",26.725539887541,36.0776203987289
"6","Eurasia",18.919742385509,25.7886797389585
"7","Asia-Pacific Developed",123.341026837884,129.295367150744
"8","China",19.8325998819794,26.7403278178112
"9","North Africa",7.30281974067284,6.95363099481719
"10","East Asia and Developing Pacific",11.1867416460465,14.0529861470879
"11","India",7.30281974067284,6.95363099481719
"12","United States",123.341026837884,129.295367150744
