"","AFG","AGO","ALB","ARE","ARG","ARM","AUS","AUT","AZE","BDI","BEL","BEN","BFA","BGD","BGR","BIH","BLR","BLZ","BOL","BRA","BTN","BWA","CAF","CAN","CHE","CHL","CHN","CIV","CMR","COD","COG","COL","COM","CPV","CRI","CYP","CZE","DEU","DJI","DNK","DOM","DZA","ECU","EGY","ERI","ESP","EST","ETH","FIN","FJI","FRA","FSM","GAB","GBR","GEO","GHA","GIN","GMB","GNB","GRC","GTM","GUY","HND","HRV","HTI","HUN","IDN","IND","IRL","IRN","IRQ","ISL","ISR","ITA","JAM","JOR","JPN","KAZ","KEN","KGZ","KHM","KIR","KOR","LAO","LBN","LBR","LCA","LKA","LSO","LTU","LUX","LVA","MAR","MDA","MDG","MDV","MEX","MHL","MKD","MLI","MLT","MMR","MNE","MNG","MOZ","MRT","MUS","MWI","MYS","NAM","NER","NGA","NIC","NLD","NOR","NPL","NRU","PAK","PAN","PER","PHL","PNG","POL","PRT","PRY","ROU","RUS","RWA","SDN","SEN","SLB","SLE","SLV","SOM","SRB","SSD","STP","SUR","SVK","SVN","SWE","SWZ","SYC","SYR","TCD","TGO","THA","TJK","TKM","TLS","TON","TUN","TUR","TUV","TZA","UGA","UKR","URY","USA","UZB","VEN","VNM","VUT","WSM","YEM","ZAF","ZMB","ZWE"
"pdr",49.4464545525615,41.84350697371,41.210120789135,45.0631571963479,30.2705957278478,30.4877041817474,46.022109621006,46.0477720045056,43.4159658515812,54.9461855103312,37.5670813624054,53.7121499329737,55.3097122558179,36.9318936049032,30.6779476170585,49.1629965727319,52.1583008068141,26.2251569139154,31.8949545758726,30.1767816448459,34.9142417498799,37.627758613725,58.0023646465315,40.591898915807,38.4254523679185,29.2909425223073,41.9499420992463,40.9208643505386,50.8257173232111,45.7572735980064,54.8218842188773,30.4754201987903,50.3282092110119,27.4442714683541,29.4137531631769,29.4337163528067,53.8968351547842,27.5927955546953,43.0416561670712,21.2060892696153,29.1770816094096,46.2018424732118,31.9090059490845,45.3966520338608,47.4636022638535,43.9387628126727,44.1243217786044,63.870203929492,17.8969129737403,28.2454280748302,45.089161987469,25.4869195772308,46.3954612698534,50.3735176939922,36.8945495771301,48.8338855381973,42.6804681977644,43.8902929762974,49.3880285622376,37.0565410272942,64.6947112401791,28.7868613452043,23.1299814732785,43.6664997483738,43.0160916300837,37.6624717398787,28.6798526777398,30.9801768898094,38.6086224921183,47.897435719855,41.5817808462836,38.3146958255684,42.8976134663605,43.6648216268936,27.556182770582,44.2049050749592,57.9680231298759,46.6812734587426,49.3593471428028,52.1689931485854,28.7768780313151,25.4869195772308,43.0328194966187,27.2546646121805,44.089639896138,37.9683301382049,26.0895513208621,26.8597139543827,60.3261699782149,37.0724209713949,29.905637109827,42.336775367789,46.1955640454731,27.4621412323659,51.6352693033506,28.9538137469144,26.8551865410467,29.9818106357844,30.2906027102628,47.9905213272029,32.5960244113008,25.7935293730867,39.0009961344205,33.0036497713334,37.3381899530772,36.8445005872124,43.8180381656764,74.5320167661394,32.2720385771826,27.1198722692973,52.3055537198976,41.5570436860162,26.5178489000139,49.5671752113825,42.9821557170858,41.3508473488476,25.4869195772308,45.1535900640455,25.8141643224564,35.7542033499521,26.274187478699,44.2468675413756,44.0027811053831,44.5303320390157,37.5084430248203,35.530257793549,44.7683092232386,57.5077489750492,48.3662116448995,37.6366739221375,25.4869195772308,21.8363698815896,59.9079288146377,47.4636022638534,38.3636119358424,47.4636022638534,36.3944566332976,28.7868613452043,43.5719285168724,44.1568097370435,31.2092436429424,49.037267913083,36.7550312446945,46.4121538328885,59.1020103845854,44.3758239520938,31.8302113376284,50.2358768587221,58.8827340424063,27.8788826806169,29.9818106357844,44.7154053778042,29.0643779171622,29.9818106357844,47.3461800376856,73.3705365424945,47.0871940515215,27.5683436742823,41.7155667468159,44.1881564319633,29.4144499253809,35.0628420919149,25.4869195772308,25.4869195772308,46.1762422976231,37.3459089181538,46.5702151350423,40.663566320036
"wht",33.0051386513975,27.4758311945555,29.8328178090238,44.748352841744,43.1386692896748,32.3410045195251,5.49278411803287,5.04622341026429,23.9847541431915,17.7581838365928,43.8367298138722,34.1841155359195,6.39805795968022,48.1927413281975,32.6329604140019,36.8565472406827,43.6836466862521,37.2481744732532,34.3355843853334,43.0304577749611,27.9916474423074,30.7926001293506,5.89964342436392,41.7686171092322,4.7616270071983,41.6539204789108,41.9499361564077,24.8837913582909,23.8695452527941,41.9741534168154,36.6923569693614,6.8139785500333,27.2871156249247,39.821466550469,41.8310475705958,22.3473721152632,5.73406797369232,35.8188701890085,43.0416558969135,31.8774297957529,41.4185081475068,46.2018421835064,45.55220936615,45.3966517491768,5.59907930569533,41.5148533216562,44.7457195808522,37.1566808417726,42.7020069332196,22.4094021725034,34.3748711428282,24.364936078948,34.840409369947,5.64249374631917,43.8737355462335,24.9326136650707,25.9055559743418,17.0886984580927,5.69046198807351,32.0096958669639,48.7663289536501,40.926912963386,22.3615665357228,39.7169562455165,35.2458001892573,36.521312789858,27.5228692544623,34.3443766727569,40.5345447847019,38.626118799785,22.2361248531339,4.51693052171472,42.6157896791395,46.9045431748701,37.4473912616007,43.9731321084673,5.79078679951604,33.6443763459791,26.8219467575934,52.1689930034232,67.4330021530689,24.364936078948,43.0328134018568,23.9326011511045,35.4238389341214,59.2606286243925,37.0136836671906,31.5356105116431,41.7551876035861,36.9240403917078,31.9354848899756,34.4802556156942,46.1955606755375,41.8475178529532,58.5653665900595,25.244000248205,30.509893574065,29.9859775868896,25.0496177988816,31.2913178037078,81.5332488267826,24.8127229192352,39.0009916454723,21.8899998489623,14.2791341556208,20.6811243198004,43.8180378514751,31.1580732125079,32.2765098100995,27.1198778933918,2.73692290129087,18.2907106360561,27.9441548511093,5.21449398010879,4.6224319385503,17.5145923059492,24.364936078948,28.3615312741715,36.8309348851547,25.0652491905841,17.7679054222851,30.2920847863571,42.6100192595726,5.01894650910929,37.6600483224789,32.294015256969,44.768309920097,45.2010357040965,5.97008985271521,18.7092908136037,24.364936078948,31.7893378381408,106.028008622509,5.59907930569533,43.5373323985343,5.59907930569533,34.8716779349023,40.926912963386,45.97880824341,33.3059038952551,56.5250466856916,33.9880683731788,30.1996811675836,37.3717599684824,32.1021076916965,24.555572483835,31.834622274466,39.6508960647068,42.4818415807893,26.5889966344438,29.9859775868896,44.7154050969268,32.5427401188174,29.9859775868896,28.8441012790106,27.6915169474273,7.30391766002769,39.1742368054189,42.9299088489434,34.9434235015658,41.9166142145237,27.0913481881101,24.364936078948,24.364936078948,37.1583062255239,30.5577924750642,5.45694538235155,21.9978966132678
"gro",33.0051386513975,27.4758311945555,29.8328178090238,44.748352841744,43.1386692896748,32.3410045195251,5.49278411803287,5.04622341026429,23.9847541431914,17.7581838365928,43.8367298138722,34.1841155359195,6.39805795968022,48.1927413281975,32.6329604140019,36.8565472406827,43.6836466862521,37.2481744732532,34.3355843853334,43.0304577749611,27.9916474423074,30.7926001293507,5.89964342436392,41.7686171092322,4.7616270071983,41.6539204789108,41.9499361564077,24.8837913582909,23.8695452527941,41.9741534168154,36.6923569693615,6.8139785500333,27.2871156249247,39.821466550469,41.8310475705958,22.3473721152632,5.73406797369232,35.8188701890085,43.0416558969134,31.8774297957529,41.4185081475068,46.2018421835064,45.55220936615,45.3966517491768,5.59907930569533,41.5148533216562,44.7457195808522,37.1566808417726,42.7020069332196,22.4094021725034,34.3748711428282,24.364936078948,34.840409369947,5.64249374631917,43.8737355462335,24.9326136650707,25.9055559743418,17.0886984580928,5.69046198807351,32.0096958669639,48.7663289536501,40.926912963386,22.3615665357228,39.7169562455165,35.2458001892573,36.521312789858,27.5228692544623,34.3443766727569,40.5345447847019,38.626118799785,22.2361248531339,4.51693052171472,42.6157896791395,46.9045431748701,37.4473912616007,43.9731321084673,5.79078679951604,33.6443763459791,26.8219467575934,52.1689930034232,67.4330021530688,24.364936078948,43.0328134018568,23.9326011511045,35.4238389341214,59.2606286243924,37.0136836671906,31.5356105116431,41.7551876035861,36.9240403917078,31.9354848899755,34.4802556156942,46.1955606755375,41.8475178529532,58.5653665900595,25.244000248205,30.509893574065,29.9859775868896,25.0496177988816,31.2913178037078,81.5332488267826,24.8127229192352,39.0009916454723,21.8899998489623,14.2791341556208,20.6811243198003,43.8180378514751,31.1580732125079,32.2765098100995,27.1198778933919,2.73692290129088,18.2907106360561,27.9441548511093,5.21449398010879,4.6224319385503,17.5145923059492,24.364936078948,28.3615312741716,36.8309348851547,25.0652491905841,17.7679054222851,30.2920847863571,42.6100192595726,5.01894650910929,37.6600483224789,32.294015256969,44.768309920097,45.2010357040965,5.97008985271521,18.7092908136037,24.364936078948,31.7893378381408,106.028008622509,5.59907930569533,43.5373323985343,5.59907930569533,34.8716779349023,40.926912963386,45.97880824341,33.3059038952551,56.5250466856916,33.9880683731788,30.1996811675836,37.3717599684824,32.1021076916965,24.555572483835,31.834622274466,39.6508960647068,42.4818415807893,26.5889966344438,29.9859775868896,44.7154050969268,32.5427401188174,29.9859775868896,28.8441012790106,27.6915169474273,7.30391766002769,39.1742368054189,42.9299088489434,34.9434235015658,41.9166142145237,27.0913481881101,24.364936078948,24.364936078948,37.1583062255239,30.5577924750642,5.45694538235155,21.9978966132678
"v_f",58.944111193757,49.9003299077586,59.8349629650936,44.5892169177964,52.6482315897803,33.4897445539771,44.2926340368856,42.4726809278487,51.293510644097,35.7449235878464,47.7427580701353,50.4069158029193,47.9876025026878,47.8255487544846,40.7948654291916,60.9461764252403,88.2699995813282,45.4323402240397,50.7985200466633,52.4983964319728,41.6549883013349,49.7765573242634,50.3458448746671,43.0949319253254,36.9625854186102,50.8413306578564,53.6768133733379,50.1798281491695,48.7526074755776,37.8873349146578,45.6373933178866,49.2714056639777,43.3449826107434,58.1298665135592,51.0642308185091,39.4096131928249,49.447641037918,40.0995323686745,46.29189295573,44.9807702980264,50.5200936952199,49.6598013172662,55.4929352307189,48.8456364119005,41.179744305655,48.7453382367082,47.8583369636499,43.9054459497161,47.2272389334355,27.3975486315905,56.4631468967333,43.3005241509824,43.948368853748,45.1935765970722,48.3115678693041,44.4027482941273,43.2994224690676,85.2104340670615,42.8675838114659,39.8406938809534,55.5631547859758,49.9406969642729,38.3002445797401,42.5302903050615,46.1769237856616,43.0657128979973,48.4272588408866,44.7752517289527,46.15594069273,55.5889383278297,46.1204161384651,36.8685383107817,42.4670031465594,44.1076026657195,46.0229530353982,43.7198047679141,47.3120162854884,60.5501251961864,42.5514136987322,49.0193811108594,46.1012977588573,43.3005241509825,55.0713876242164,38.8656830419696,51.2951682497296,46.6466278076725,45.1878748588705,36.1297784706953,42.4675235719458,38.6993383688425,45.5894323353609,42.8827752726907,54.8725426944462,54.6336918797835,52.4878400497037,36.2001013306226,39.5611283548182,49.4596390932078,35.9226010495792,53.2944933153176,40.4403452076684,43.362690086949,41.1618709575189,49.8526711042919,29.9021256926593,41.6090479611481,43.8180378698234,44.1251062913719,53.0203991698077,35.6306376818988,48.9814205090219,44.8724315681189,37.6875197572189,45.2312150083331,40.0603923272123,52.7686084820447,43.3005241509825,47.5072212770921,44.9324935679901,38.8445932816861,37.854861316354,27.2880154358595,43.6164976176909,40.8487214524473,63.5838870718042,40.9044295813298,49.6011741338584,36.4944385743961,41.8620172595502,55.7127225901705,43.3005241509825,36.2555591148698,76.2922935994873,41.179744305655,48.6597034326309,41.179744305655,36.0392969331979,49.9406969642728,47.9056866408995,39.5689297923784,45.7984118020091,39.9543170508686,48.0810166910494,53.9202592907496,43.9241643720666,52.1699977079404,52.3446783017413,49.2679121295157,76.3239385608336,44.5813215560292,49.4596390932078,48.1323240977588,40.6151889643647,49.4596390932078,40.7012059347417,45.5766412502594,55.7083251256712,47.8281649844992,44.2956165039904,43.2626747682347,51.1293949993312,55.4319179746839,43.3005241509825,43.3005241509824,53.653833826204,49.3880762745116,40.3659394584422,35.0409872668046
"osd",43.4990727644986,37.2533784842152,51.6361344909263,51.18077813523,46.4462521504964,24.4727157987879,40.7215127586652,40.203428058574,44.7393095354017,40.1278725614348,42.0167529924978,52.9193646052974,52.7770859707171,45.5993853156031,34.8073969172865,49.0927312322326,36.3905577686943,40.0779261612014,30.2803686931306,46.3256866372754,34.8840055906374,37.8740497508036,55.3300105710192,41.8992330281369,34.015448577967,44.851396628425,53.676814423221,50.7792428176561,48.1238895607971,42.6998017687008,45.3253877986064,36.2898062148508,35.3342088755233,34.7504962621289,45.0399465128004,28.0715198054565,47.0317738827347,45.2851841731796,46.6870435077641,54.4577645283143,44.5580504658825,50.0762557252116,49.0107630247599,49.2598115664964,45.2910549278106,48.8095046993717,36.1466235048962,58.026945504325,26.9389998963653,32.1954358589179,46.6564437860725,39.4603454913492,39.1137492587856,44.0237805537568,32.7533506939003,46.1946403952107,43.6995855548867,44.7063088171786,47.1325306355024,39.3193919475641,57.5525918012021,44.0507925935819,72.0216842828241,47.6562137964064,41.2059096415513,36.8042824514905,44.1374719846428,37.1629232042512,37.5721875481075,49.3750888062976,35.8995113834314,33.9025252321033,48.6898469688021,45.4633938220416,36.4529844910249,50.1598463184871,51.6133538824673,50.9350093039741,34.7011958120091,40.1937357217181,40.5274579128888,39.4603454913491,55.0713886941778,64.6946530888746,45.4806676066628,45.3042369006412,39.839090197909,31.6889753791825,46.0565343572338,36.3751257119416,43.2748422567779,30.6404590946052,46.6137439718236,42.1246740348171,50.0162153888128,23.2914323882369,31.8558959885761,34.830762880509,40.515201831495,45.1836116068183,41.1027193082587,39.5265523345114,37.1302514353192,31.6516188725221,37.1356784959361,39.4760190653402,43.8180372373397,68.0948640722217,37.4302984799718,39.7146316445999,44.1244644004148,36.0123665776285,29.4494357264357,43.4596450589256,37.7466558944922,43.632742308876,39.4603454913492,41.1622099077431,39.6507297569155,30.1134245986966,41.3724504838554,38.8345420807848,43.1998805388883,38.9715862477881,25.8315283089086,38.0308955404517,44.251857154522,42.7951563330523,46.1098275395664,51.8485928890597,39.4603454913491,35.8622059306547,56.6530341068563,45.2910549278106,41.3062948562691,45.2910549278105,33.6170819195257,44.0507925935819,46.399354896484,44.7400961808434,44.0701068109813,34.1567613849997,36.9166503645692,47.8571453156368,42.5939460393555,48.2367877695645,36.9343428420342,39.3857717745974,64.2295982511578,37.2346315549526,34.830762880509,48.5465519224897,37.4869183967748,34.830762880509,46.6630427486302,48.4627595882488,48.955898577405,42.1785238210609,43.0631860441489,34.5235636070746,45.121768988576,41.5619502898854,39.4603454913492,39.4603454913492,47.6106147636128,37.5775589378223,44.423926597342,28.5771605761845
"c_b",43.3180735147832,47.9034965917026,34.1550607899423,38.2853370100219,21.657332129206,27.279208294379,38.6151410786456,40.8037049599007,43.7527490665825,69.0895702036641,42.5806280790394,50.3065070524561,40.8356828687679,55.5226527129558,32.4069907015345,41.5171337617662,68.2271272044472,18.7916368983564,30.5132468345452,21.6023124921983,32.9505002268689,32.092975295483,42.9998300163677,39.2758385413306,32.1987328872616,20.9469021757843,53.6768152690463,45.4113764161706,44.1687316230172,54.0556749404909,53.9135866229123,6.8139785500333,28.6644041686226,32.3799472358828,21.0324309441371,29.9559274450936,48.0696588378174,32.3518690657912,48.3886743839015,29.7573163823347,20.9189467293031,51.8889531486895,22.9471882102709,51.063542225215,35.0281565023861,40.7783840287446,31.0754460812312,62.6278932953855,42.2505044307691,18.6124170580769,55.6907142774878,32.1566545149313,45.4794657178933,45.9169756975159,30.7137993866871,38.8013819415668,39.1170573691065,34.3407309836648,36.4769438589754,39.7256120032313,42.0183035195625,20.6071602090179,19.5373173172082,39.9410336588474,45.8731173831187,34.6591121209073,36.0537755158644,38.3036668341017,37.2309970457023,42.151259870624,27.6572912338825,32.1538601017163,36.445101220105,36.3405582615372,21.7673361362546,37.6037844698836,52.3854640176701,54.0852521036856,28.151719155193,48.7263255369813,35.6543607811081,32.1566545149313,55.0713895566055,67.0773821966644,38.7279686462444,48.9290253666223,18.6528268953307,29.6593921518206,44.5197419261488,37.2731615417827,43.4194410740415,36.48480395414,43.3139840313565,30.9696507285895,50.279802383676,18.3519280211986,27.6386474476424,43.7890243627022,30.261451850695,40.9806870252204,29.635631558327,32.3412070878372,41.9986616571626,32.2404577227956,43.8005483315547,34.1251102526699,43.8180414668566,53.4580896107201,46.9797294163994,37.4275463060517,32.6869544307325,27.3620347112651,27.1088767679388,44.6640544553101,37.909135166576,53.4699049266258,32.1566545149313,33.9348797739988,18.4850709108117,31.8593338694959,27.1182246270626,46.1859223406868,35.7648284264174,39.8106959859522,33.6366579267912,34.8181989537725,48.6906289707319,61.2517281450105,35.6329116477901,38.5784286662813,32.1566545149313,48.591086721684,55.7511682436147,35.0281565023861,35.0793198228825,35.0281565023861,47.2847285517981,20.6071602090179,43.5223534369157,36.4341848608748,41.7260587919177,24.7709935235207,31.4450302258955,40.810475586279,38.7414618671117,54.2189822370318,46.3734174571948,34.4755314129457,68.1943838060514,36.5418768568528,43.7890243627022,50.3324024141788,32.1463821948363,43.7890243627022,50.639840893472,54.6505303256325,41.3631366002821,19.7020056134107,40.3585633185875,30.1538226584298,21.0738381977109,52.5571375638715,32.1566545149313,32.1566545149313,40.5883711309986,31.8511523458417,34.356121049235,23.1061571192159
"pfb",51.4301951332788,63.1273852522583,77.0551064663547,68.4060066806145,64.8900847102802,62.610125317984,67.7378288214664,59.6249097725744,148.217136879485,63.821595057208,77.8280339399978,75.6060225074817,63.6196270473057,53.4620998681958,78.1944681617691,67.7679267403736,120.28671344527,55.8888017937411,64.3183237448842,64.7275140858751,64.1132555444372,51.7029406009058,66.6324430743739,65.1703240642839,56.7371858249583,62.5996948401535,54.5709557446346,5.89584278806696,68.2849336124396,70.4291944095032,63.8283466373578,6.8139785500333,51.1432577221586,54.5133740567841,62.8710908248704,91.0005760077237,70.3184557567303,77.4896104906046,92.9583515969751,101.113818516795,62.125176487339,99.3488476933925,68.4560050136091,98.3100902731255,54.6042798330782,62.9564419777086,81.1292599675791,59.0912124498735,62.0259653636877,53.9417846087325,69.7922988056541,70.0506340633413,77.5596200262505,62.2514830957781,61.4793026640332,62.6418220570454,63.6758978949789,71.5492296253567,56.8112336378368,67.9212583978305,76.8632464493412,61.4723075536803,98.7174285017674,84.847112962814,5.64103236184223,78.5133118773544,78.0449135699267,54.1038656543061,53.1845116690721,82.6513123382543,67.7099777443485,56.33756819021,65.0877262055927,86.4116600418427,73.1962630107754,67.0599444662756,67.4941324440578,78.0749413697258,50.1941136732193,88.6847059601527,49.701435511347,70.0506340633413,56.0071592231497,60.0619800657494,76.6152875177225,41.6897756680513,55.5573568500291,54.7781091134219,76.5640239760326,72.7565236438189,81.7176146946619,80.8852427007464,87.5483627314931,77.7661841574854,57.9124053899038,62.3057415376726,73.1738372717355,73.5807384328415,51.1473053884858,84.387823114448,78.8060017829471,69.7039307989572,44.7078431720019,62.9348814636577,77.9749618662412,57.3982732685701,64.4499557339874,66.9492288589461,78.7254580474707,62.2118646746689,48.3379422704383,50.047469490619,73.4480952594426,60.4925206295476,56.1865801803267,43.6750788790552,70.0506340633413,77.2051008402179,55.4152106333131,69.3742595251625,62.9045388728825,34.1957735979486,73.8595048478057,60.8386819138221,46.8844268498299,68.1792882987983,77.3956131020431,53.2098552506999,55.634264883823,68.3527117700643,70.0506340633413,54.462210799889,70.6819448155059,54.6042798330782,67.4770640641455,54.6042798330782,4.75207703440085,61.4723075536803,75.0909381019282,69.5043934302778,42.5041133143271,70.6768361497027,49.7964572407497,80.3202786704486,49.5916635103618,72.8230863324369,77.7571525141006,75.0649977441763,98.3675246615967,5.96406275068234,73.5807384328415,97.100167646234,70.7178174257148,73.5807384328415,41.6617594306823,63.9272106005596,74.8330596877097,58.8607713643288,67.0484850379033,66.0460997746267,63.018104969898,62.4881963867753,70.0506340633413,70.0506340633412,79.9898582503942,51.328109542242,53.5605913523198,41.444212444707
"ocr",33.0051386513975,27.4758311945555,29.8328178090238,44.748352841744,43.1386692896748,32.3410045195251,5.49278411803287,5.04622341026429,23.9847541431914,17.7581838365928,43.8367298138722,34.1841155359195,6.39805795968022,48.1927413281975,32.6329604140019,36.8565472406827,43.6836466862521,37.2481744732532,34.3355843853334,43.0304577749611,27.9916474423074,30.7926001293507,5.89964342436392,41.7686171092322,4.7616270071983,41.6539204789108,41.9499361564077,24.8837913582909,23.8695452527941,41.9741534168154,36.6923569693614,6.8139785500333,27.2871156249247,39.821466550469,41.8310475705958,22.3473721152632,5.73406797369232,35.8188701890085,43.0416558969134,31.8774297957529,41.4185081475068,46.2018421835064,45.55220936615,45.3966517491768,5.59907930569533,41.5148533216562,44.7457195808522,37.1566808417726,42.7020069332196,22.4094021725034,34.3748711428282,24.364936078948,34.840409369947,5.64249374631917,43.8737355462335,24.9326136650707,25.9055559743418,17.0886984580927,5.69046198807351,32.0096958669639,48.7663289536501,40.926912963386,22.3615665357228,39.7169562455165,35.2458001892573,36.521312789858,27.5228692544623,34.3443766727569,40.5345447847019,38.626118799785,22.2361248531339,4.51693052171472,42.6157896791396,46.9045431748701,37.4473912616007,43.9731321084673,5.79078679951604,33.6443763459791,26.8219467575934,52.1689930034232,67.4330021530688,24.364936078948,43.0328134018568,23.9326011511045,35.4238389341214,59.2606286243925,37.0136836671906,31.535610511643,41.7551876035861,36.9240403917078,31.9354848899755,34.4802556156942,46.1955606755375,41.8475178529532,58.5653665900595,25.244000248205,30.509893574065,29.9859775868896,25.0496177988816,31.2913178037078,81.5332488267826,24.8127229192352,39.0009916454723,21.8899998489623,14.2791341556208,20.6811243198003,43.8180378514751,31.1580732125079,32.2765098100995,27.1198778933918,2.73692290129087,18.2907106360561,27.9441548511093,5.21449398010879,4.6224319385503,17.5145923059492,24.364936078948,28.3615312741716,36.8309348851547,25.0652491905841,17.7679054222851,30.2920847863571,42.6100192595726,5.01894650910929,37.6600483224789,32.294015256969,44.768309920097,45.2010357040965,5.97008985271521,18.7092908136037,24.364936078948,31.7893378381408,106.028008622509,5.59907930569533,43.5373323985343,5.59907930569533,34.8716779349023,40.926912963386,45.97880824341,33.3059038952551,56.5250466856916,33.9880683731788,30.1996811675836,37.3717599684823,32.1021076916964,24.555572483835,31.834622274466,39.6508960647068,42.4818415807893,26.5889966344438,29.9859775868896,44.7154050969268,32.5427401188174,29.9859775868896,28.8441012790106,27.6915169474273,7.30391766002769,39.1742368054189,42.9299088489434,34.9434235015658,41.9166142145237,27.0913481881101,24.364936078948,24.364936078948,37.1583062255239,30.5577924750642,5.45694538235155,21.9978966132678
"ctl",71.1055984332228,64.1902228013165,58.4906782386409,58.2871385297879,51.1530806459938,45.8334154374506,47.3017950057143,45.9802510925294,60.7836966514295,63.7944635576722,41.1413862025264,58.9405097879368,70.2006381559807,65.0726105630095,53.7398697049996,67.5308334094414,99.8786437632453,44.1846802301972,60.4761456765485,50.9966689317241,42.8678984327672,69.2680289334305,73.4064716394733,42.8925039984103,39.43412022825,49.4453709243513,41.7756794984118,69.7309042249954,59.6436312578923,55.8468538828049,73.5873091569188,52.5662355122396,50.483557224216,64.1150843050515,49.6613112679476,44.2412713503883,53.5381894310103,42.3897334822937,49.4190340023416,52.3392095348176,49.1226086799114,52.9804112817539,53.8215793896834,52.153692992724,60.261945562168,50.0272702322872,30.3212189763348,95.7726898976967,56.2979628703603,45.7303298391469,54.7288919745855,76.5211925771114,79.1439928847518,48.498832928147,68.9105850509726,63.2229727976069,60.6439711966756,65.3100563661892,62.6821417654654,37.8535580381437,61.1309414018191,48.5601270234572,71.9269606773087,55.4455387740228,55.5133207074796,53.9442148410302,85.1722789543632,60.2240044885802,49.2796230842638,70.3918374127325,64.0932723978731,39.3731915090281,55.4931864252009,44.6012033415945,58.4531529885468,57.0825023428053,56.243666892095,59.5547501085364,49.5319389318662,53.030294714661,52.0186364732422,76.5211925771114,42.8544738313616,56.020811268923,65.156039169788,71.7355419306614,43.9819273334395,42.3204891936619,77.865834611879,39.2992105839765,41.7101405318274,68.3475332749922,57.0456311685513,82.657828977675,52.5831860447834,303.694152851075,62.6609886600577,39.3043747587212,37.8264935212367,58.4799643420346,38.3151270975824,75.996201659806,42.5792686742061,47.0081494412068,70.2203732895002,50.1835930891353,43.8180378298531,83.4561479768824,42.2024109461346,44.6127610434852,69.1054955528072,52.0478464802073,77.6905704932829,48.6702690431628,43.2646651854318,63.7878762980645,76.5211925771114,72.0441882829176,43.6294848213881,70.6248320283381,63.4553436058866,54.1968872795866,52.7423419835432,44.0933608043376,48.7784608587767,44.0737904512133,55.3324673072517,69.1150058156405,61.4143302957456,73.2787248039418,76.5211925771114,86.8280847627948,106.37726447024,60.261945562168,63.1333352078735,60.2619455621679,103.035508469401,48.5601270234572,49.5604418841043,36.3467501398408,44.6127782019926,57.3526754990185,66.5669284881886,68.3620514135357,57.4731498475542,59.7083662604028,41.649793872454,64.7703199650592,75.0715487803306,70.1490324382517,39.3043747587212,51.4167622537856,39.3090892047701,39.3043747587212,55.0546374031636,63.7567843129895,62.3506705543862,46.5347414463673,44.0888678822309,57.1216991620928,49.6638085020909,71.6054669110723,76.5211925771114,76.5211925771114,68.054347116878,68.787305468052,59.1131271017555,40.8868055572437
"oap",61.2132851342983,64.0398280104982,77.4019803159356,43.205797774723,47.6157579531392,43.7729584629931,40.1409236758349,39.8450296890383,57.6013732058853,63.7944637283591,45.9846131950778,58.9405102044413,60.3272175628149,60.3054862939131,38.4955651511267,56.7453276014506,72.3276939522814,41.1120253463769,59.5531196012145,47.4816077745528,45.5004837015482,48.538147668408,63.1429615193998,41.4104728895162,33.4648034498291,45.9976288568655,41.7756854441683,62.0691799368957,63.2189810919115,51.2423284639296,64.1756567291151,57.7366428919612,60.970933301696,55.3702389594672,46.196182452333,35.9593353884854,46.5751614452914,35.4928485532799,49.4190338462772,42.7643026997038,45.714093183009,52.9804111140688,50.1901009953479,52.1536928288108,51.7899445253601,46.8771800220316,45.1917097556702,69.9039779240352,42.9813910430998,46.2913451787649,54.8479016311076,59.6364599235323,51.3975735943107,43.0127574596689,63.103625872454,56.7906580397283,52.4727731727627,84.215369269053,53.8812128850575,36.9834792097093,61.8633818894295,45.182697477065,48.7959370809176,42.1367936504002,71.6108936936475,41.6277883294727,66.4422130577812,44.4121680565651,42.9414195948552,54.0938757428843,54.5580671115847,33.4201580367763,41.1313486887898,41.0773524464474,41.1984857072864,42.3693885076024,52.9607235410152,77.6596009986919,59.8562728376916,53.0302946234664,52.0186370181599,59.6364599235323,42.8544799393833,40.7435535593116,49.9004271855556,41.3041917323287,40.8901878331082,52.7933319700402,60.8606464575946,34.4635922513907,43.3635884854105,40.0065535709039,57.0456311359075,62.6951951405884,58.7272626968043,50.9530295974299,46.1989358336613,39.3043662407859,36.7942450460603,55.6331943417082,37.7904244473044,59.3303091932154,42.5792689286659,41.4040244980478,54.6507767043116,61.6495625687376,43.8180381730056,71.5758837423886,42.2024017962238,44.6127609293663,54.3146494745374,79.2515663497351,59.3909957964953,42.8057647044199,37.4789631718306,70.9453116001431,59.6364599235323,59.265956595975,40.6334773538438,64.2724734916255,55.426153691089,57.2904694565076,39.2289349814885,38.5006501591145,57.855606691457,39.3421997989578,55.3324671826402,56.9020299632716,52.7109938764431,76.8502410778963,59.6364599235323,50.0779933367037,100.313430205362,51.7899445253601,48.7233030297454,51.7899445253601,55.2940150061803,45.182697477065,44.2100795682049,39.5323565781492,45.2855357785193,49.512610143709,46.8900051575748,52.4609395713285,45.7499949826243,44.477984601723,41.6497848474092,72.0376784332931,97.8508026092903,67.6807357146713,39.3043662407859,51.4167620922947,37.6568141683291,39.3043662407859,50.6124413781638,61.1548699845866,60.1473296193508,43.2729175660356,42.5600805392041,63.1749389949814,46.2469394174432,52.727945027403,59.6364599235323,59.6364599235323,52.2013463676263,48.1770924976468,50.772697551251,49.4917081292214
