"","SP","GF","value","Vari","Goal","Tax","PovertyRateLabel","TaxGDPShareLabel"
"1","Universal","His.PoverPop",-699.118235417262,"NPLchg","1.5degree","Luxury",-48.4762463396807,NA
"2","Universal","His.Pop",-625.116324777319,"NPLchg","1.5degree","Luxury",-43.3450186473465,NA
"3","Universal","His.PoverGap",-679.358924694107,"NPLchg","1.5degree","Luxury",-47.1061530341524,NA
"4","Universal","Curren.PoverPop",-699.172276313002,"NPLchg","1.5degree","Luxury",-48.4799934880765,NA
"5","Universal","Curren.Pop",-623.846731371383,"NPLchg","1.5degree","Luxury",-43.2569861521553,NA
"6","Universal","Curren.PoverGap",-679.412965589848,"NPLchg","1.5degree","Luxury",-47.1099001825482,NA
"7","SP_covid","His.PoverPop",-650.35463189201,"NPLchg","1.5degree","Luxury",-45.0950207655977,NA
"8","SP_covid","His.Pop",-620.124467277407,"NPLchg","1.5degree","Luxury",-42.9988876188604,NA
"9","SP_covid","His.PoverGap",-638.00490188124,"NPLchg","1.5degree","Luxury",-44.2387012993012,NA
"10","SP_covid","Curren.PoverPop",-648.838083802853,"NPLchg","1.5degree","Luxury",-44.9898646488901,NA
"11","SP_covid","Curren.Pop",-620.043043200722,"NPLchg","1.5degree","Luxury",-42.9932417446729,NA
"12","SP_covid","Curren.PoverGap",-636.488353792083,"NPLchg","1.5degree","Luxury",-44.1335451825936,NA
"13","PerfectTargeted","His.PoverPop",-1075.18807448869,"NPLchg","1.5degree","Luxury",-74.55259971769,NA
"14","PerfectTargeted","His.Pop",-956.425470889185,"NPLchg","1.5degree","Luxury",-66.3177047651996,NA
"15","PerfectTargeted","His.PoverGap",-1078.19348942285,"NPLchg","1.5degree","Luxury",-74.7609925578712,NA
"16","PerfectTargeted","Curren.PoverPop",-1078.24443723039,"NPLchg","1.5degree","Luxury",-74.7645252342391,NA
"17","PerfectTargeted","Curren.Pop",-959.481833630878,"NPLchg","1.5degree","Luxury",-66.5296302817487,NA
"18","PerfectTargeted","Curren.PoverGap",-1077.8286073042,"NPLchg","1.5degree","Luxury",-74.7356919512321,NA
"19","Universal","His.PoverPop",-423.62169890236,"IPLchg","1.5degree","Luxury",-59.0154049213433,NA
"20","Universal","His.Pop",-342.968215918262,"IPLchg","1.5degree","Luxury",-47.7794413978594,NA
"21","Universal","His.PoverGap",-417.412928637933,"IPLchg","1.5degree","Luxury",-58.1504513739492,NA
"22","Universal","Curren.PoverPop",-423.52854580554,"IPLchg","1.5degree","Luxury",-59.0024276169636,NA
"23","Universal","Curren.Pop",-342.855870192975,"IPLchg","1.5degree","Luxury",-47.7637903382319,NA
"24","Universal","Curren.PoverGap",-417.319775541113,"IPLchg","1.5degree","Luxury",-58.1374740695695,NA
"25","SP_covid","His.PoverPop",-368.43483885828,"IPLchg","1.5degree","Luxury",-51.3272366800145,NA
"26","SP_covid","His.Pop",-327.756454581297,"IPLchg","1.5degree","Luxury",-45.6602670090263,NA
"27","SP_covid","His.PoverGap",-369.636973783349,"IPLchg","1.5degree","Luxury",-51.4947079865054,NA
"28","SP_covid","Curren.PoverPop",-368.435863538066,"IPLchg","1.5degree","Luxury",-51.3273794297666,NA
"29","SP_covid","Curren.Pop",-327.757282017615,"IPLchg","1.5degree","Luxury",-45.6603822804807,NA
"30","SP_covid","Curren.PoverGap",-369.637998463135,"IPLchg","1.5degree","Luxury",-51.4948507362575,NA
"31","PerfectTargeted","His.PoverPop",-562.124903347395,"IPLchg","1.5degree","Luxury",-78.3105040968729,NA
"32","PerfectTargeted","His.Pop",-455.49878302788,"IPLchg","1.5degree","Luxury",-63.45625163022,NA
"33","PerfectTargeted","His.PoverGap",-582.151944338019,"IPLchg","1.5degree","Luxury",-81.100502665172,NA
"34","PerfectTargeted","Curren.PoverPop",-562.050174203116,"IPLchg","1.5degree","Luxury",-78.3000934622891,NA
"35","PerfectTargeted","Curren.Pop",-455.424053883601,"IPLchg","1.5degree","Luxury",-63.4458409956362,NA
"36","PerfectTargeted","Curren.PoverGap",-582.083174745267,"IPLchg","1.5degree","Luxury",-81.0909222650814,NA
"37","Universal","His.PoverPop",-0.163909421313268,"LocalGiniChg","1.5degree","Luxury",NA,NA
"38","Universal","His.Pop",-0.157301166669356,"LocalGiniChg","1.5degree","Luxury",NA,NA
"39","Universal","His.PoverGap",-0.162253618014547,"LocalGiniChg","1.5degree","Luxury",NA,NA
"40","Universal","Curren.PoverPop",-0.163943969656395,"LocalGiniChg","1.5degree","Luxury",NA,NA
"41","Universal","Curren.Pop",-0.157335581557927,"LocalGiniChg","1.5degree","Luxury",NA,NA
"42","Universal","Curren.PoverGap",-0.162288166357674,"LocalGiniChg","1.5degree","Luxury",NA,NA
"43","SP_covid","His.PoverPop",-0.153328144010078,"LocalGiniChg","1.5degree","Luxury",NA,NA
"44","SP_covid","His.Pop",-0.158002624390729,"LocalGiniChg","1.5degree","Luxury",NA,NA
"45","SP_covid","His.PoverGap",-0.150647319870279,"LocalGiniChg","1.5degree","Luxury",NA,NA
"46","SP_covid","Curren.PoverPop",-0.153361487918837,"LocalGiniChg","1.5degree","Luxury",NA,NA
"47","SP_covid","Curren.Pop",-0.158036298177059,"LocalGiniChg","1.5degree","Luxury",NA,NA
"48","SP_covid","Curren.PoverGap",-0.150680663779038,"LocalGiniChg","1.5degree","Luxury",NA,NA
"49","PerfectTargeted","His.PoverPop",-0.312140876143889,"LocalGiniChg","1.5degree","Luxury",NA,NA
"50","PerfectTargeted","His.Pop",-0.302294419954147,"LocalGiniChg","1.5degree","Luxury",NA,NA
"51","PerfectTargeted","His.PoverGap",-0.307449387098488,"LocalGiniChg","1.5degree","Luxury",NA,NA
"52","PerfectTargeted","Curren.PoverPop",-0.312056988206165,"LocalGiniChg","1.5degree","Luxury",NA,NA
"53","PerfectTargeted","Curren.Pop",-0.302210532016422,"LocalGiniChg","1.5degree","Luxury",NA,NA
"54","PerfectTargeted","Curren.PoverGap",-0.307393846041905,"LocalGiniChg","1.5degree","Luxury",NA,NA
"55","Universal","His.PoverPop",-0.00811273055522005,"InterGiniChg","1.5degree","Luxury",NA,NA
"56","Universal","His.Pop",-0.00525812822261352,"InterGiniChg","1.5degree","Luxury",NA,NA
"57","Universal","His.PoverGap",-0.00829628053086526,"InterGiniChg","1.5degree","Luxury",NA,NA
