"","SP","GF","value","Vari","Goal","Tax","PovertyRateLabel","TaxGDPShareLabel"
"1","Universal","His.PoverPop",13,"TaxLevel","2.0degree","Luxury",NA,0.508364429865432
"2","Universal","His.Pop",13,"TaxLevel","2.0degree","Luxury",NA,0.508364429865432
"3","Universal","His.PoverGap",13,"TaxLevel","2.0degree","Luxury",NA,0.508364429865432
"4","Universal","Curren.PoverPop",13,"TaxLevel","2.0degree","Luxury",NA,0.508364429865432
"5","Universal","Curren.Pop",13,"TaxLevel","2.0degree","Luxury",NA,0.508364429865432
"6","Universal","Curren.PoverGap",13,"TaxLevel","2.0degree","Luxury",NA,0.508364429865432
"7","SP_covid","His.PoverPop",13,"TaxLevel","2.0degree","Luxury",NA,0.508364429865432
"8","SP_covid","His.Pop",13,"TaxLevel","2.0degree","Luxury",NA,0.508364429865432
"9","SP_covid","His.PoverGap",13,"TaxLevel","2.0degree","Luxury",NA,0.508364429865432
"10","SP_covid","Curren.PoverPop",13,"TaxLevel","2.0degree","Luxury",NA,0.508364429865432
"11","SP_covid","Curren.Pop",13,"TaxLevel","2.0degree","Luxury",NA,0.508364429865432
"12","SP_covid","Curren.PoverGap",13,"TaxLevel","2.0degree","Luxury",NA,0.508364429865432
"13","PMT","His.PoverPop",13,"TaxLevel","2.0degree","Luxury",NA,0.508364429865432
"14","PMT","His.Pop",13,"TaxLevel","2.0degree","Luxury",NA,0.508364429865432
"15","PMT","His.PoverGap",13,"TaxLevel","2.0degree","Luxury",NA,0.508364429865432
"16","PMT","Curren.PoverPop",13,"TaxLevel","2.0degree","Luxury",NA,0.508364429865432
"17","PMT","Curren.Pop",13,"TaxLevel","2.0degree","Luxury",NA,0.508364429865432
"18","PMT","Curren.PoverGap",13,"TaxLevel","2.0degree","Luxury",NA,0.508364429865432
"19","Universal","His.PoverPop",121,"TaxLevel","1.5degree","Luxury",NA,4.73169969336287
"20","Universal","His.Pop",121,"TaxLevel","1.5degree","Luxury",NA,4.73169969336287
"21","Universal","His.PoverGap",121,"TaxLevel","1.5degree","Luxury",NA,4.73169969336287
"22","Universal","Curren.PoverPop",121,"TaxLevel","1.5degree","Luxury",NA,4.73169969336287
"23","Universal","Curren.Pop",121,"TaxLevel","1.5degree","Luxury",NA,4.73169969336287
"24","Universal","Curren.PoverGap",121,"TaxLevel","1.5degree","Luxury",NA,4.73169969336287
"25","SP_covid","His.PoverPop",122,"TaxLevel","1.5degree","Luxury",NA,4.77080464950636
"26","SP_covid","His.Pop",123,"TaxLevel","1.5degree","Luxury",NA,4.80990960564986
"27","SP_covid","His.PoverGap",123,"TaxLevel","1.5degree","Luxury",NA,4.80990960564986
"28","SP_covid","Curren.PoverPop",122,"TaxLevel","1.5degree","Luxury",NA,4.77080464950636
"29","SP_covid","Curren.Pop",123,"TaxLevel","1.5degree","Luxury",NA,4.80990960564986
"30","SP_covid","Curren.PoverGap",123,"TaxLevel","1.5degree","Luxury",NA,4.80990960564986
"31","PMT","His.PoverPop",124,"TaxLevel","1.5degree","Luxury",NA,4.84901456179335
"32","PMT","His.Pop",124,"TaxLevel","1.5degree","Luxury",NA,4.84901456179335
"33","PMT","His.PoverGap",125,"TaxLevel","1.5degree","Luxury",NA,4.88811951793685
"34","PMT","Curren.PoverPop",124,"TaxLevel","1.5degree","Luxury",NA,4.84901456179335
"35","PMT","Curren.Pop",124,"TaxLevel","1.5degree","Luxury",NA,4.84901456179335
"36","PMT","Curren.PoverGap",125,"TaxLevel","1.5degree","Luxury",NA,4.88811951793685
