"","Pop","PPop_npl_ori","PR_npl_ori","PPop_ipl_ori","PR_ipl_ori","Gini_ori","PPop_npl_tax","PR_npl_tax","PPop_ipl_tax","PR_ipl_tax","Gini_tax","CO2_ori","CO2_tax","IPL_Change_rate","NPL_Change_rate"
"Afghanistan",36296111,20146792.2613447,0.555067518427655,30118308.7903503,0.829794376327269,0.322913307273083,14310939.7231723,0.394283005228088,22478251.4185213,0.619301925171028,0.40034589518946,17.6391036073484,24.2806627529004,-0.253668206439162,-0.289666586247061
"Angola",29816769,9496876.06544852,0.318507886131073,9101689.61662985,0.305254054073728,0.520802267453499,8254379.94524225,0.276836834508871,7917024.11637838,0.265522535871623,0.497141774313756,24.8007798514595,25.295767521909,-0.130158855130254,-0.13083208748261
"Albania",2873457,453145.008301394,0.157700292122483,12615.7849393865,0.00439045544770166,0.356818246408467,457453.876061519,0.159199833532055,9721.72247394485,0.00338328448066035,0.357051361152957,7.46329645956141,7.34161172373218,-0.229400110999543,0.00950880552844735
"United Arab Emirates",9487206,38814.0358784394,0.00409119775394773,5078.07693418142,0.000535255262105769,0.393923873121619,37603.0380034513,0.00396355238870656,4919.64093964636,0.00051855529854062,0.390655722305095,250.990547585367,246.302888341052,-0.0311999988555908,-0.031199998855591
"Argentina",44044811,18434874.9816326,0.418548168628368,469267.363419145,0.0106543166553523,0.502613348834742,18156532.2985638,0.41222863457318,227500.604982023,0.00516520788299043,0.497525381247389,196.278344779157,192.600642145516,-0.515200453480456,-0.0150987019627799
"Armenia",2944789,752638.264186004,0.255583087340385,21874.4891861724,0.00742820255922322,0.366079975043305,660326.006043121,0.224235422654432,16420.2228275853,0.00557602695051675,0.367635171126257,7.29830455803336,7.04043940881142,-0.24934371322531,-0.122651561228715
"Australia",24601860,246563.885666295,0.0100221644081502,123971.862078677,0.00503912558150795,0.314599957343005,207843.824596691,0.00844829718552545,104414.795284771,0.00424418297172534,0.312966853936909,381.087333963713,372.062709633503,-0.157754077949518,-0.157038655377163
"Austria",8797566,62658.5292777772,0.00712225736956986,26864.5872604228,0.00305363861554694,0.127960344506615,52716.9523884608,0.00599222016503892,23053.6308680332,0.00262045557464794,0.13424513127357,81.6669338940465,79.6611685185649,-0.141857991542792,-0.158662787076337
"Azerbaijan",9854033,549153.135352998,0.0557287696675055,0,0,0.429445796262849,307554.621736491,0.0312110403665678,0,0,0.426380642259438,33.7393789330447,32.1443040555225,NA,-0.439947435538552
"Burundi",10827010,7046067.03578907,0.65078604672842,7046067.03578907,0.65078604672842,0.547509056327696,4193896.27184516,0.387354982755642,4193896.27184516,0.387354982755642,0.477056941852085,1.36793145777902,1.51595521536183,-0.404789047486618,-0.404789047486618
"Belgium",11375158,1818387.2886408,0.159856002759768,15192.9663280631,0.0013356268394745,0.132249017612084,1818387.2886408,0.159856002759768,11990.4209321089,0.0010540882976842,0.135686689613143,136.927246214185,134.115105279094,-0.210791317956045,0
"Benin",11175192,4347839.54769217,0.389061731350313,2147617.43603388,0.192177229351754,0.447475388707769,3955913.26872043,0.35399063109792,1633691.25344246,0.146189099340974,0.439505810975697,11.2096782503942,10.9724608831249,-0.239300619360085,-0.0901427650842769
"Burkina Faso",19193236,8021160.85743984,0.417916022990591,5794694.82400215,0.301913383652561,0.376373588652913,6523122.2139197,0.339865680488673,4431972.37945898,0.230913243574923,0.358312440216499,5.49860039856134,5.51777770538887,-0.235167249688225,-0.186760828032849
"Bangladesh",159685421,39267400.3030432,0.245904729793982,19777991.1018952,0.123855959911927,0.310566731785673,33647307.5792716,0.210709953160167,16095965.2775413,0.100797963751126,0.305256478413106,120.389487665225,118.418201945496,-0.186167837035839,-0.14312362622427
"Bulgaria",7075947,2135625.14345298,0.30181474556734,96823.6743606437,0.0136834934406156,0.278459827508464,2135625.14345298,0.30181474556734,80605.1100881387,0.011391423662181,0.282420145365612,36.3541532271001,35.2151150162966,-0.167506184614468,0
"Bosnia and Herzegovina",3351534,537862.137059381,0.160482375252461,2555.8940651062,0.000762604247817923,0.312310921417696,412527.082903452,0.12308605041854,211.009069796718,6.29589524667565e-05,0.30730595961886,15.2759585335237,14.9511034253925,-0.917442169189453,-0.233024497394751
"Belarus",9458989,544130.104214132,0.0575251862766869,0,0,0.188843760174716,544130.104214132,0.0575251862766869,0,0,0.188067825655599,53.1159906030383,52.2876267970662,NA,0
"Belize",375775,100739.000546815,0.268083295979815,48888.3105699485,0.130099954946307,0.465175266847078,91439.8512918979,0.243336707582723,40156.1652272261,0.10686225860482,0.457984258334525,1.03600518091237,1.03507907988641,-0.178614176700351,-0.0923093261243517
"Bolivia",11192853,4255333.43757136,0.380183089831642,571759.197123914,0.0510825253511249,0.416081216292232,3978150.9110559,0.355418847281913,431385.655950628,0.038541170508594,0.408524356615263,23.2764459784954,22.7281362309562,-0.245511645251006,-0.0651376750099424
"Brazil",207833825,55716776.8220921,0.268083295979815,10449981.3715263,0.0502804650375187,0.502793081543345,53973326.4186881,0.259694621020847,5904393.33829357,0.028409203065447,0.495651976067645,452.517226284222,454.210856923122,-0.434985276205215,-0.0312913004456629
"Bhutan",745563,63044.0576076699,0.0845589944882859,7244.86113352572,0.00971730240573328,0.364677170108049,58056.5006084726,0.0778693425082422,6628.02267535085,0.00888995655008477,0.360606470119301,1.45117086044807,1.43115953492805,-0.0851415157318116,-0.0791122460777413
"Botswana",2205076,442861.831702027,0.200837445830451,334802.944189386,0.151832836686529,0.587890080606119,334802.944189386,0.151832836686529,214733.650404971,0.0973815190065879,0.566565448877877,11.4863985326619,11.2826066943065,-0.358626756031441,-0.244001356128037
"Central African Republic",4596023,3737287.49770565,0.813156830961387,3737287.49770565,0.813156830961387,0.297057666932757,3439994.04357783,0.748471894848619,3439994.04357783,0.748471894848619,0.470971199394094,0.292427144955662,0.379052137325043,-0.0795479219381235,-0.0795479219381235
"Canada",36545236,257878.184164648,0.00705641042144722,92708.1557707161,0.00253680550238384,0.469978522929364,204556.600519549,0.00559735338744424,65405.4682951983,0.00178971257143334,0.466730676334514,507.211489801369,490.434440598474,-0.294501462665726,-0.206770432395532
"Switzerland",8451840,1304737.31833001,0.154373168248572,0,0,0.343701063184984,1135567.29538863,0.134357405652334,0,0,0.341677112122385,102.374083297341,100.131989055856,NA,-0.129658300230051
"Chile",18470435,2023927.04942036,0.109576577347548,62019.0753349726,0.00335774849563492,0.494946061951861,1850685.83543981,0.100197198140694,40730.6172661226,0.00220517910196065,0.491187706021956,87.6238814256207,87.1364408654672,-0.3432566182883,-0.0855965703063079
"China",1396215000,44071542.6984802,0.0315650116196146,1094370.34124,0.000783812193136446,0.407191006968709,27783961.2330145,0.0198994862775536,0,0,0.39693100807223,8295.086631422,8005.04332924443,-1,-0.369571393878784
"Cote d'Ivoire",24437475,9405810.31038626,0.384892887271957,2828217.12429269,0.115732788444497,0.425846684228007,9028576.69291709,0.369456201711392,2534262.01318175,0.103703922487153,0.425446656342312,14.9580044076186,14.7980179754074,-0.10393654312678,-0.0401064453801083
"Cameroon",24566070,9431652.3795467,0.383930045772348,6047933.39050781,0.246190513603023,0.451638599846971,9387262.10198031,0.382123070640941,6028927.72660288,0.24541685856154,0.459796654713255,9.60707200903254,9.65235194121349,-0.00314250549365518,-0.0047065218033958
"Congo, Dem. Rep.",81398765,51879647.0576142,0.637351771339702,56007549.1791541,0.688063869017596,0.406370605666777,40238131.9668094,0.494333445560376,43579540.4197728,0.53538331226245,0.414329774788638,7.26121004128379,8.57790413436233,-0.221898814383526,-0.224394647054489
"Congo, Rep.",5110701,2059401.06693832,0.402958628755295,1769753.05574662,0.34628381815853,0.359543501879506,1736613.99610792,0.339799568808256,1332563.51690241,0.260739870499646,0.341025165016801,4.74972803135106,4.84494405997415,-0.247034204814392,-0.156738323589527
"Colombia",48909844,17531817.1788368,0.358451709206777,2240795.91276024,0.0458148243686943,0.494737538554344,17121468.338132,0.350061806333547,1540860.22193995,0.0315040919357656,0.489121255176444,89.7196372742571,89.0692458908518,-0.312360303245153,-0.0234059502514182
"Comoros",813890,351281.81136441,0.43160846227919,157310.362053798,0.193282092240718,0.577294650333006,339995.76203855,0.417741662925641,152135.183508693,0.186923519773794,0.57181465185697,0.685304072785217,0.670846426518686,-0.0328978871928051,-0.0321281915565854
"Cabo Verde",537499,186417.747107195,0.346824360802894,23012.43794772,0.0428139176960701,0.447536227523343,180858.747612951,0.33648201692087,17223.918432941,0.0320445590279069,0.444571417080779,1.47811114473684,1.46008694113873,-0.251538734310962,-0.0298201194924192
"Costa Rica",4949955,1497730.26117311,0.302574520611422,59665.4077581197,0.0120537273082522,0.496635372329324,1411048.15034963,0.285062823874082,46609.4174543539,0.00941612953135005,0.494420599428989,14.7703939428239,14.666814261156,-0.21882009684228,-0.0578756489540278
"Cyprus",1179685,194395.932788176,0.164786305486784,1016.88872580777,0.000862000216844129,0.221336772548155,176236.894629895,0.149393180916851,897.665393866904,0.000760936515991052,0.232978858445472,8.92175730450996,8.68818038876338,-0.117243242957736,-0.0934126444819633
"Czech Republic",10594438,884765.450845394,0.0835122590594606,0,0,0.138256587480801,884765.450845394,0.0835122590594606,0,0,0.143823905158533,75.3782787979962,71.1436653534935,NA,0
"Germany",82657002,14394965.6726802,0.174153009719372,192011.309077351,0.0023229890321615,0.195338784391303,14394965.6726802,0.174153009719372,192011.309077351,0.0023229890321615,0.195058593429502,770.897829584022,751.471605096914,0,0
