"","Country","Universal_P","Universal_C","Luxury","CBDR_P","CBDR_C","Luxury&CBDR_C","Null"
"1","AFG","Progressive","Progressive","Progressive","Progressive","Progressive","Progressive",NA
"2","AGO","Progressive","Progressive","Progressive","Regressive","Progressive","Progressive",NA
"3","ALB","Progressive","Progressive","Progressive","Regressive","Progressive","Progressive",NA
"4","ARE","Progressive","Progressive","Progressive","Progressive","Progressive","Progressive",NA
"5","ARG","Regressive","Regressive","Regressive","Regressive","Regressive","Regressive",NA
"6","ARM","Progressive","Progressive","Progressive","Progressive","Progressive","Progressive",NA
"7","AUS","Progressive","Progressive","Progressive","Progressive","Progressive","Progressive",NA
"8","AUT","Regressive","Regressive","Progressive","Regressive","Regressive","Progressive",NA
"9","AZE","Regressive","Regressive","Regressive","Regressive","Regressive","Progressive",NA
"10","BDI","Progressive","Progressive","Progressive","Regressive","Progressive","Progressive",NA
"11","BEL","Regressive","Regressive","Progressive","Regressive","Regressive","Progressive",NA
"12","BEN","Progressive","Progressive","Progressive","Regressive","Progressive","Progressive",NA
"13","BFA","Regressive","Regressive","Progressive","Regressive","Progressive","Progressive",NA
"14","BGD","Progressive","Progressive","Progressive","Progressive","Progressive","Progressive",NA
"15","BGR","Regressive","Regressive","Progressive","Regressive","Regressive","Progressive",NA
"16","BIH","Regressive","Regressive","Progressive","Progressive","Progressive","Progressive",NA
"17","BLR","Regressive","Regressive","Progressive","Regressive","Regressive","Progressive",NA
"18","BLZ","Regressive","Regressive","Progressive","Regressive","Regressive","Progressive",NA
"19","BOL","Progressive","Progressive","Progressive","Progressive","Progressive","Progressive",NA
"20","BRA","Regressive","Regressive","Progressive","Regressive","Regressive","Progressive",NA
"21","BTN","Regressive","Regressive","Progressive","Regressive","Regressive","Progressive",NA
"22","BWA","Regressive","Regressive","Regressive","Regressive","Regressive","Progressive",NA
"23","CAF","Regressive","Regressive","Progressive","Progressive","Progressive","Progressive",NA
"24","CAN","Progressive","Progressive","Progressive","Progressive","Progressive","Progressive",NA
"25","CHE","Progressive","Progressive","Progressive","Progressive","Progressive","Progressive",NA
"26","CHL","Regressive","Regressive","Regressive","Regressive","Regressive","Regressive",NA
"27","CHN","Progressive","Progressive","Progressive","Progressive","Progressive","Progressive",NA
"28","CIV","Progressive","Progressive","Progressive","Progressive","Progressive","Progressive",NA
"29","CMR","Progressive","Progressive","Progressive","Progressive","Progressive","Progressive",NA
"30","COD","Progressive","Progressive","Progressive","Progressive","Progressive","Progressive",NA
"31","COG","Regressive","Regressive","Regressive","Regressive","Regressive","Regressive",NA
"32","COL","Regressive","Regressive","Progressive","Regressive","Progressive","Progressive",NA
"33","COM","Regressive","Regressive","Progressive","Regressive","Regressive","Progressive",NA
"34","CPV","Regressive","Regressive","Progressive","Regressive","Regressive","Progressive",NA
"35","CRI","Regressive","Regressive","Progressive","Regressive","Regressive","Progressive",NA
"36","CYP","Regressive","Regressive","Regressive","Regressive","Regressive","Regressive",NA
"37","CZE","Regressive","Regressive","Regressive","Regressive","Regressive","Regressive",NA
"38","DEU","Regressive","Regressive","Regressive","Regressive","Regressive","Regressive",NA
"39","DJI","Regressive","Regressive","Progressive","Progressive","Progressive","Progressive",NA
"40","DNK","Regressive","Regressive","Regressive","Regressive","Regressive","Regressive",NA
"41","DOM","Regressive","Regressive","Progressive","Regressive","Regressive","Progressive",NA
"42","DZA","Regressive","Regressive","Progressive","Progressive","Progressive","Progressive",NA
"43","ECU","Regressive","Regressive","Progressive","Regressive","Regressive","Progressive",NA
"44","EGY","Regressive","Regressive","Progressive","Progressive","Progressive","Progressive",NA
"45","ERI","Progressive","Progressive","Progressive","Regressive","Progressive","Progressive",NA
"46","ESP","Regressive","Regressive","Regressive","Regressive","Regressive","Regressive",NA
"47","EST","Regressive","Regressive","Regressive","Regressive","Regressive","Regressive",NA
"48","ETH","Progressive","Progressive","Progressive","Regressive","Progressive","Progressive",NA
"49","FIN","Regressive","Regressive","Progressive","Regressive","Regressive","Progressive",NA
"50","FJI","Regressive","Regressive","Progressive","Regressive","Regressive","Progressive",NA
"51","FRA","Regressive","Regressive","Progressive","Regressive","Regressive","Progressive",NA
"52","FSM","Regressive","Regressive","Regressive","Regressive","Regressive","Regressive",NA
"53","GAB","Regressive","Regressive","Regressive","Regressive","Regressive","Regressive",NA
"54","GBR","Regressive","Regressive","Regressive","Regressive","Regressive","Regressive",NA
"55","GEO","Regressive","Regressive","Regressive","Regressive","Regressive","Regressive",NA
"56","GHA","Regressive","Regressive","Regressive","Regressive","Regressive","Regressive",NA
"57","GIN","Progressive","Progressive","Progressive","Progressive","Progressive","Progressive",NA
"58","GMB","Progressive","Progressive","Progressive","Progressive","Progressive","Progressive",NA
"59","GNB","Progressive","Progressive","Progressive","Regressive","Progressive","Progressive",NA
"60","GRC","Regressive","Regressive","Progressive","Regressive","Regressive","Progressive",NA
"61","GTM","Regressive","Regressive","Progressive","Regressive","Regressive","Progressive",NA
"62","GUY","Regressive","Regressive","Regressive","Regressive","Regressive","Progressive",NA
"63","HND","Regressive","Regressive","Progressive","Regressive","Regressive","Regressive",NA
"64","HRV","Regressive","Regressive","Progressive","Regressive","Regressive","Progressive",NA
"65","HTI","Progressive","Progressive","Progressive","Progressive","Progressive","Progressive",NA
"66","HUN","Regressive","Regressive","Progressive","Regressive","Regressive","Progressive",NA
"67","IDN","Regressive","Regressive","Progressive","Regressive","Progressive","Progressive",NA
"68","IND","Regressive","Regressive","Progressive","Regressive","Progressive","Progressive",NA
"69","IRL","Regressive","Regressive","Progressive","Regressive","Regressive","Progressive",NA
"70","IRN","Regressive","Regressive","Progressive","Progressive","Progressive","Progressive",NA
"71","IRQ","Regressive","Regressive","Progressive","Progressive","Progressive","Progressive",NA
"72","ISL","Progressive","Progressive","Progressive","Progressive","Progressive","Progressive",NA
"73","ISR","Progressive","Progressive","Progressive","Progressive","Progressive","Progressive",NA
"74","ITA","Regressive","Regressive","Progressive","Regressive","Regressive","Progressive",NA
"75","JAM","Regressive","Regressive","Progressive","Regressive","Progressive","Progressive",NA
"76","JOR","Progressive","Progressive","Progressive","Progressive","Progressive","Progressive",NA
"77","JPN","Regressive","Regressive","Regressive","Regressive","Regressive","Regressive",NA
"78","KAZ","Regressive","Regressive","Regressive","Regressive","Regressive","Regressive",NA
"79","KEN","Regressive","Regressive","Progressive","Regressive","Regressive","Progressive",NA
"80","KGZ","Progressive","Progressive","Progressive","Progressive","Progressive","Progressive",NA
"81","KHM","Progressive","Progressive","Progressive","Regressive","Progressive","Progressive",NA
"82","KIR","Regressive","Regressive","Regressive","Regressive","Regressive","Regressive",NA
"83","KOR","Regressive","Regressive","Regressive","Regressive","Regressive","Regressive",NA
"84","LAO","Progressive","Progressive","Progressive","Progressive","Progressive","Progressive",NA
"85","LBN","Regressive","Regressive","Regressive","Regressive","Regressive","Regressive",NA
"86","LBR","Progressive","Progressive","Progressive","Progressive","Progressive","Progressive",NA
"87","LCA","Regressive","Regressive","Progressive","Regressive","Regressive","Progressive",NA
"88","LKA","Regressive","Regressive","Progressive","Regressive","Regressive","Progressive",NA
"89","LSO","Regressive","Regressive","Regressive","Regressive","Regressive","Regressive",NA
"90","LTU","Progressive","Progressive","Progressive","Progressive","Progressive","Progressive",NA
"91","LUX","Progressive","Progressive","Progressive","Progressive","Progressive","Progressive",NA
"92","LVA","Regressive","Regressive","Progressive","Regressive","Regressive","Progressive",NA
"93","MAR","Regressive","Regressive","Progressive","Regressive","Progressive","Progressive",NA
"94","MDA","Regressive","Regressive","Progressive","Regressive","Regressive","Progressive",NA
"95","MDG","Regressive","Regressive","Regressive","Regressive","Regressive","Regressive",NA
"96","MDV","Regressive","Regressive","Progressive","Regressive","Progressive","Progressive",NA
"97","MEX","Regressive","Regressive","Regressive","Regressive","Regressive","Regressive",NA
"98","MHL","Regressive","Regressive","Progressive","Regressive","Regressive","Progressive",NA
"99","MKD","Regressive","Regressive","Progressive","Regressive","Regressive","Progressive",NA
"100","MLI","Regressive","Regressive","Progressive","Regressive","Regressive","Progressive",NA
"101","MLT","Progressive","Progressive","Progressive","Regressive","Progressive","Progressive",NA
"102","MMR","Progressive","Progressive","Progressive","Progressive","Progressive","Progressive",NA
"103","MNE","Regressive","Regressive","Regressive","Progressive","Regressive","Regressive",NA
"104","MNG","Regressive","Regressive","Regressive","Regressive","Regressive","Regressive",NA
"105","MOZ","Progressive","Progressive","Progressive","Progressive","Regressive","Progressive",NA
"106","MRT","Progressive","Progressive","Progressive","Progressive","Progressive","Progressive",NA
"107","MUS","Regressive","Regressive","Progressive","Progressive","Regressive","Progressive",NA
"108","MWI","Progressive","Progressive","Progressive","Progressive","Progressive","Progressive",NA
"109","MYS","Regressive","Regressive","Progressive","Progressive","Progressive","Progressive",NA
"110","NAM","Progressive","Progressive","Progressive","Progressive","Progressive","Progressive",NA
"111","NER","Progressive","Progressive","Progressive","Progressive","Progressive","Progressive",NA
"112","NGA","Progressive","Progressive","Progressive","Progressive","Progressive","Progressive",NA
"113","NIC","Progressive","Progressive","Progressive","Progressive","Progressive","Progressive",NA
"114","NLD","Regressive","Regressive","Progressive","Regressive","Regressive","Progressive",NA
"115","NOR","Progressive","Progressive","Progressive","Progressive","Progressive","Progressive",NA
"116","NPL","Regressive","Regressive","Progressive","Regressive","Regressive","Progressive",NA
"117","NRU","Regressive","Regressive","Progressive","Regressive","Regressive","Regressive",NA
"118","PAK","Regressive","Regressive","Progressive","Regressive","Regressive","Progressive",NA
"119","PAN","Regressive","Regressive","Progressive","Regressive","Regressive","Progressive",NA
"120","PER","Regressive","Regressive","Progressive","Regressive","Progressive","Progressive",NA
"121","PHL","Progressive","Progressive","Progressive","Regressive","Progressive","Progressive",NA
"122","PNG","Progressive","Progressive","Progressive","Progressive","Progressive","Progressive",NA
"123","POL","Regressive","Regressive","Regressive","Regressive","Regressive","Regressive",NA
"124","PRT","Progressive","Progressive","Progressive","Progressive","Progressive","Progressive",NA
"125","PRY","Regressive","Regressive","Progressive","Regressive","Regressive","Progressive",NA
"126","ROU","Regressive","Regressive","Progressive","Regressive","Regressive","Progressive",NA
"127","RUS","Regressive","Regressive","Progressive","Progressive","Progressive","Progressive",NA
"128","RWA","Progressive","Progressive","Progressive","Regressive","Progressive","Progressive",NA
"129","SDN","Progressive","Progressive","Progressive","Regressive","Progressive","Progressive",NA
"130","SEN","Progressive","Progressive","Progressive","Progressive","Progressive","Progressive",NA
"131","SLB","Regressive","Regressive","Regressive","Regressive","Regressive","Regressive",NA
"132","SLE","Progressive","Progressive","Progressive","Progressive","Progressive","Progressive",NA
"133","SLV","Regressive","Regressive","Regressive","Regressive","Regressive","Progressive",NA
"134","SOM","Progressive","Progressive","Progressive","Regressive","Progressive","Progressive",NA
"135","SRB","Regressive","Regressive","Regressive","Regressive","Regressive","Regressive",NA
"136","SSD","Progressive","Progressive","Progressive","Regressive","Progressive","Progressive",NA
"137","STP","Progressive","Progressive","Progressive","Progressive","Progressive","Progressive",NA
"138","SUR","Regressive","Regressive","Regressive","Regressive","Regressive","Progressive",NA
"139","SVK","Regressive","Regressive","Regressive","Regressive","Regressive","Regressive",NA
"140","SVN","Regressive","Regressive","Progressive","Regressive","Regressive","Progressive",NA
"141","SWE","Progressive","Progressive","Progressive","Progressive","Progressive","Progressive",NA
"142","SWZ","Progressive","Progressive","Progressive","Progressive","Progressive","Progressive",NA
"143","SYC","Regressive","Regressive","Progressive","Regressive","Regressive","Progressive",NA
"144","SYR","Regressive","Regressive","Regressive","Regressive","Regressive","Regressive",NA
"145","TCD","Progressive","Progressive","Progressive","Progressive","Regressive","Regressive",NA
"146","TGO","Progressive","Progressive","Progressive","Progressive","Progressive","Progressive",NA
"147","THA","Regressive","Regressive","Progressive","Progressive","Progressive","Progressive",NA
"148","TJK","Progressive","Progressive","Progressive","Progressive","Progressive","Progressive",NA
"149","TKM","Progressive","Progressive","Progressive","Progressive","Progressive","Progressive",NA
"150","TLS","Progressive","Progressive","Progressive","Progressive","Progressive","Progressive",NA
"151","TON","Regressive","Regressive","Progressive","Regressive","Regressive","Progressive",NA
"152","TUN","Regressive","Regressive","Regressive","Regressive","Progressive","Progressive",NA
"153","TUR","Progressive","Progressive","Progressive","Progressive","Progressive","Progressive",NA
"154","TUV","Regressive","Regressive","Progressive","Regressive","Regressive","Progressive",NA
"155","TZA","Progressive","Progressive","Progressive","Progressive","Progressive","Progressive",NA
"156","UGA","Progressive","Progressive","Progressive","Regressive","Progressive","Progressive",NA
"157","UKR","Regressive","Regressive","Regressive","Regressive","Regressive","Progressive",NA
"158","URY","Regressive","Regressive","Progressive","Regressive","Regressive","Progressive",NA
"159","USA","Progressive","Progressive","Progressive","Progressive","Progressive","Progressive",NA
"160","UZB","Regressive","Regressive","Progressive","Progressive","Progressive","Progressive",NA
"161","VEN","Regressive","Regressive","Progressive","Regressive","Regressive","Progressive",NA
"162","VNM","Regressive","Regressive","Progressive","Regressive","Regressive","Progressive",NA
"163","VUT","Regressive","Regressive","Regressive","Regressive","Regressive","Regressive",NA
"164","WSM","Regressive","Regressive","Regressive","Regressive","Regressive","Regressive",NA
"165","YEM","Regressive","Regressive","Regressive","Regressive","Regressive","Regressive",NA
"166","ZAF","Regressive","Regressive","Progressive","Regressive","Regressive","Progressive",NA
"167","ZMB","Progressive","Progressive","Progressive","Progressive","Progressive","Progressive",NA
"168","ZWE","Regressive","Regressive","Progressive","Regressive","Regressive","Progressive",NA
