"","His.PoverPop","His.Pop","His.PoverGap","Curren.PoverPop","Curren.Pop","Curren.PoverGap"
"AFG",2479.09068401985,602.41485358343,1866.80906586056,2479.09068401985,602.41485358343,1866.80906586056
"AGO",1282.11310634277,494.875732870278,1474.0930647976,1282.11310634277,494.875732870278,1474.0930647976
"ALB",-27.0075363925954,-27.0075363925954,-27.0075363925954,-40.4602057217423,-40.4602057217423,-40.4602057217423
"ARE",0,157.461327286712,0,0,157.461327286712,0
"ARG",66.9873512868688,731.021799268656,72.7670507212764,66.9873512868688,731.021799268656,72.7670507212764
"ARM",3.2572383481113,48.8753363760954,2.31643152071074,3.2572383481113,48.8753363760954,2.31643152071074
"AUS",-1743.47659181918,-1743.47659181918,-1743.47659181918,-3063.32572292626,-3063.32572292626,-3063.32572292626
"AUT",-509.506762131805,-509.506762131805,-509.506762131805,-518.425922713273,-518.425922713273,-518.425922713273
"AZE",0,163.549638882835,0,0,163.549638882835,0
"BDI",974.529289745687,179.698360628673,252.349925318051,974.529289745687,179.698360628673,252.349925318051
"BEL",-1149.1834260573,-1149.1834260573,-1149.1834260573,-729.85805862965,-729.85805862965,-729.85805862965
"BEN",307.477569787318,185.477216896508,154.708627960223,307.477569787318,185.477216896508,154.708627960223
"BFA",809.381759554031,318.554526536802,224.619607424726,809.381759554031,318.554526536802,224.619607424726
"BGD",2980.60486606986,2650.33544533527,1394.78478560974,2980.60486606986,2650.33544533527,1394.78478560974
"BGR",-356.004111652944,-356.004111652944,-356.004111652944,-345.407376732115,-345.407376732115,-345.407376732115
"BIH",-88.6371063035451,-88.6371063035451,-88.6371063035451,-178.528696877965,-178.528696877965,-178.528696877965
"BLR",-460.296483390116,-460.296483390116,-460.296483390116,-440.890294441415,-440.890294441415,-440.890294441415
"BLZ",7.50759956688705,6.23682359813462,15.461420045588,7.50759956688705,6.23682359813462,15.461420045588
"BOL",75.8302084972071,185.770340551798,37.9170157728175,75.8302084972071,185.770340551798,37.9170157728175
"BRA",1522.99146711813,3449.46551593528,1664.44265686584,1522.99146711813,3449.46551593528,1664.44265686584
"BTN",0.927752699378297,12.3742795883069,0.315218618402043,0.927752699378297,12.3742795883069,0.315218618402043
"BWA",46.9515196413809,36.5981505754249,37.7235450932999,46.9515196413809,36.5981505754249,37.7235450932999
"CAF",393.349146728532,76.2812446383327,212.78118773671,393.349146728532,76.2812446383327,212.78118773671
"CAN",-3135.60432543996,-3135.60432543996,-3135.60432543996,-4471.71886282195,-4471.71886282195,-4471.71886282195
"CHE",-281.224570585162,-281.224570585162,-281.224570585162,-304.632302134808,-304.632302134808,-304.632302134808
"CHL",17.8764193426965,306.558033067159,16.9302269217203,17.8764193426965,306.558033067159,16.9302269217203
"CHN",1351.3122366941,23173.2996076629,643.254216232555,1351.3122366941,23173.2996076629,643.254216232555
