"","His.PoverPop","His.Pop","His.PoverGap","Curren.PoverPop","Curren.Pop","Curren.PoverGap","Reg"
"Southern Asia",9287.91675049584,7538.56722877099,13987.6765521214,9287.91675049584,7538.56722877099,13987.6765521214,"Southern Asia"
"Sub-Saharan Africa",55778.0832586981,17405.5448443395,64222.5920782012,55778.0832586981,17405.5448443395,64222.5920782012,"Sub-Saharan Africa"
"Europe",-38556.3561390748,-38556.3561390748,-38556.3561390748,-31801.2502356958,-31801.2502356958,-31801.2502356958,"Europe"
"Middle East",627.924865706899,2917.79842588891,250.602827059241,334.686911880337,2624.56047206234,-42.6351267673212,"Middle East"
"Latin America and Caribbean",4184.1236237472,10237.6656804388,6204.21538783685,4184.1236237472,10237.6656804388,6204.21538783685,"Latin America and Caribbean"
"Eurasia",-10937.2210547486,-9989.72755194493,-11133.8051027933,-12607.8063557244,-11660.3128529207,-12804.390403769,"Eurasia"
"Asia-Pacific Developed",-10992.9284841157,-10158.2117964841,-10979.6516850792,-16610.8452852729,-15776.1285976413,-16597.5684862364,"Asia-Pacific Developed"
"China",162.421113653344,23173.2996076629,31.7737276446511,162.421113653344,23173.2996076629,31.7737276446511,"China"
"North Africa",449.38858156576,3083.60838981258,408.100607119793,449.38858156576,3083.60838981258,408.100607119793,"North Africa"
"East Asia and Developing Pacific",3006.08606760414,10892.4460518207,1908.09436257444,3006.08606760414,10892.4460518207,1908.09436257444,"East Asia and Developing Pacific"
"India",25753.5207549763,22218.3245972777,12419.716722898,25753.5207549763,22218.3245972777,12419.716722898,"India"
"United States",-38762.9593385084,-38762.9593385084,-38762.9593385084,-37936.3251859278,-37936.3251859278,-37936.3251859278,"United States"
