"","Reg","Type","value","Vari"
"1","Southern Asia","Universal_P",0.0201022808792394,"RevenueShare"
"2","Southern Asia","Universal_C",0.0341308047272341,"RevenueShare"
"3","Southern Asia","Luxury",0.0341308047272341,"RevenueShare"
"4","Southern Asia","CBDR_P",0.00234883825134611,"RevenueShare"
"5","Southern Asia","CBDR_C",0.00409434182797346,"RevenueShare"
"6","Southern Asia","Luxury&CBDR",0.00409434182797346,"RevenueShare"
"7","Sub-Saharan Africa","Universal_P",0.0236823595111694,"RevenueShare"
"8","Sub-Saharan Africa","Universal_C",0.0273692044134008,"RevenueShare"
"9","Sub-Saharan Africa","Luxury",0.0273692044134008,"RevenueShare"
"10","Sub-Saharan Africa","CBDR_P",0.00736604864746344,"RevenueShare"
"11","Sub-Saharan Africa","CBDR_C",0.00547757861517981,"RevenueShare"
"12","Sub-Saharan Africa","Luxury&CBDR",0.00547757861517981,"RevenueShare"
"13","Europe","Universal_P",0.0109704121266176,"RevenueShare"
"14","Europe","Universal_C",0.0143143968302331,"RevenueShare"
"15","Europe","Luxury",0.0143143968302331,"RevenueShare"
"16","Europe","CBDR_P",0.0201417308026586,"RevenueShare"
"17","Europe","CBDR_C",0.0257662503361653,"RevenueShare"
"18","Europe","Luxury&CBDR",0.0257662503361653,"RevenueShare"
"19","Middle East","Universal_P",0.0332493944699978,"RevenueShare"
"20","Middle East","Universal_C",0.0442919282745279,"RevenueShare"
"21","Middle East","Luxury",0.0442919282745279,"RevenueShare"
"22","Middle East","CBDR_P",0.0241992807729187,"RevenueShare"
"23","Middle East","CBDR_C",0.0319289433652514,"RevenueShare"
"24","Middle East","Luxury&CBDR",0.0319289433652514,"RevenueShare"
"25","Latin America and Caribbean","Universal_P",0.0139711888003374,"RevenueShare"
"26","Latin America and Caribbean","Universal_C",0.0177515965372838,"RevenueShare"
"27","Latin America and Caribbean","Luxury",0.0177515965372838,"RevenueShare"
"28","Latin America and Caribbean","CBDR_P",0.00840078743429241,"RevenueShare"
"29","Latin America and Caribbean","CBDR_C",0.00790701668874519,"RevenueShare"
"30","Latin America and Caribbean","Luxury&CBDR",0.00790701668874519,"RevenueShare"
"31","Eurasia","Universal_P",0.0539125553276164,"RevenueShare"
"32","Eurasia","Universal_C",0.0527540116856645,"RevenueShare"
"33","Eurasia","Luxury",0.0527540116856645,"RevenueShare"
"34","Eurasia","CBDR_P",0.023172227054213,"RevenueShare"
"35","Eurasia","CBDR_C",0.0166348718482484,"RevenueShare"
"36","Eurasia","Luxury&CBDR",0.0166348718482484,"RevenueShare"
"37","Asia-Pacific Developed","Universal_P",0.0150319371380807,"RevenueShare"
"38","Asia-Pacific Developed","Universal_C",0.0164637267594074,"RevenueShare"
"39","Asia-Pacific Developed","Luxury",0.0164637267594074,"RevenueShare"
"40","Asia-Pacific Developed","CBDR_P",0.0323926638542508,"RevenueShare"
"41","Asia-Pacific Developed","CBDR_C",0.0338442160680608,"RevenueShare"
"42","Asia-Pacific Developed","Luxury&CBDR",0.0338442160680608,"RevenueShare"
"43","China","Universal_P",0.0421276940819012,"RevenueShare"
"44","China","Universal_C",0.0404296220288219,"RevenueShare"
"45","China","Luxury",0.0404296220288219,"RevenueShare"
"46","China","CBDR_P",0.018775139165975,"RevenueShare"
"47","China","CBDR_C",0.0133637419512881,"RevenueShare"
"48","China","Luxury&CBDR",0.0133637419512881,"RevenueShare"
"49","North Africa","Universal_P",0.0389620253627991,"RevenueShare"
"50","North Africa","Universal_C",0.0499275027651728,"RevenueShare"
"51","North Africa","Luxury",0.0499275027651728,"RevenueShare"
"52","North Africa","CBDR_P",0.00451545911972689,"RevenueShare"
"53","North Africa","CBDR_C",0.0060768592132667,"RevenueShare"
"54","North Africa","Luxury&CBDR",0.0060768592132667,"RevenueShare"
"55","East Asia and Developing Pacific","Universal_P",0.0298236374657208,"RevenueShare"
"56","East Asia and Developing Pacific","Universal_C",0.0332877080982017,"RevenueShare"
"57","East Asia and Developing Pacific","Luxury",0.0332877080982017,"RevenueShare"
"58","East Asia and Developing Pacific","CBDR_P",0.00698518606935909,"RevenueShare"
"59","East Asia and Developing Pacific","CBDR_C",0.00620634984139321,"RevenueShare"
"60","East Asia and Developing Pacific","Luxury&CBDR",0.00620634984139321,"RevenueShare"
"61","India","Universal_P",0.0459495844249783,"RevenueShare"
"62","India","Universal_C",0.0450306420022096,"RevenueShare"
"63","India","Luxury",0.0450306420022096,"RevenueShare"
"64","India","CBDR_P",0.00532527424094165,"RevenueShare"
"65","India","CBDR_C",0.00548084435581514,"RevenueShare"
"66","India","Luxury&CBDR",0.00548084435581514,"RevenueShare"
"67","United States","Universal_P",0.0122791070520046,"RevenueShare"
"68","United States","Universal_C",0.0170088105466201,"RevenueShare"
"69","United States","Luxury",0.0170088105466201,"RevenueShare"
"70","United States","CBDR_P",0.0264605275762037,"RevenueShare"
"71","United States","CBDR_C",0.0349647359685192,"RevenueShare"
"72","United States","Luxury&CBDR",0.0349647359685192,"RevenueShare"
