"","Universal_P","Universal_C","Luxury","CBDR_P","CBDR_C","Luxury&CBDR","Null"
"AFG",349.68,1060.08708472046,1060.08708472046,14.8175763456051,47.3510466230893,47.3510466230893,0
"AGO",942.200491981895,1487.78212541925,1487.78212541925,109.195242406288,181.083411255531,181.083411255531,0
"ALB",296.46,447.797787573685,447.797787573685,132.123959747805,148.016572483075,148.016572483075,0
"ARE",10511.88,15059.432855122,15059.432855122,22652.289734076,30957.4318657819,30957.4318657819,0
"ARG",8439.42,11776.7006867494,11776.7006867494,3761.21428986987,3892.70987750222,3892.70987750222,0
"ARM",237.42,440.795922201472,440.795922201472,105.811477175079,145.702152577165,145.702152577165,0
"AUS",21699.72,22877.7045098804,22877.7045098804,46761.2210744722,47029.3260990387,47029.3260990387,0
"AUT",3270.48,4903.50864277655,4903.50864277655,7047.63187265273,10080.0631851416,10080.0631851416,0
"AZE",1495.14,2025.972341547,2025.972341547,666.342228892037,669.671647030976,669.671647030976,0
"BDI",51.2819839498954,99.5438480181646,99.5438480181645,2.17305740200088,4.44633790609078,4.44633790609078,0
"BEL",4925.22,8209.07227539995,8209.07227539995,10613.4688033031,16875.2567305705,16875.2567305705,0
"BEN",244.38,676.637600995313,676.637600995313,28.3221390418904,82.3560404971681,82.3560404971681,0
"BFA",211.38,329.91602391368,329.91602391368,8.9571587964253,14.7364016175713,14.7364016175713,0
"BGD",4049.76,7225.80258134543,7225.80258134543,469.342277626181,879.478895554237,879.478895554237,0
"BGR",2608.38,2182.70991984763,2182.70991984763,1162.48227122371,721.480208312755,721.480208312755,0
"BIH",1807.76196211188,1909.50725318048,1909.50725318048,805.669124724021,631.174888734435,631.174888734435,0
"BLR",2875.2,3189.82870414662,3189.82870414662,1281.39650902951,1054.37660635655,1054.37660635655,0
"BLZ",27.9,62.1603108547422,62.1603108547422,12.4342524352822,20.5466762286927,20.5466762286927,0
"BOL",989.34,1497.80579319336,1497.80579319336,114.658421473541,182.303428570443,182.303428570443,0
"BRA",22378.26,27151.0335770533,27151.0335770533,9973.36680653687,8974.59308859811,8974.59308859811,0
"BTN",64.0816970314066,88.099811372805,88.099811372805,7.4266745779679,10.7229506940479,10.7229506940479,0
"BWA",395.34,689.183911959714,689.183911959714,176.192019991558,227.805146183239,227.805146183239,0
"CAF",9.72,17.5456286973397,17.5456286973397,0.411881840766647,0.783712861380844,0.783712861380844,0
"CAN",29179.08,30432.6893880822,30432.6893880822,62878.6643620153,62559.9859760736,62559.9859760736,0
"CHE",2242.32,6145.32565898166,6145.32565898166,4832.02646115759,12632.8462838665,12632.8462838665,0
"CHL",4977.96,5257.43288553724,5257.43288553724,10727.1194310286,10807.619510557,10807.619510557,0
"CHN",518609.16,497705.19788532,497705.19788532,231129.649128662,164513.134147349,164513.134147349,0
"CIV",541.08,909.30422619517,909.304226195169,62.7078443112614,110.674747555589,110.674747555589,0
"CMR",298.62,576.424320541952,576.424320541953,34.6082214612052,70.1587151176284,70.1587151176283,0
"COD",94.2,436.004759634395,436.004759634395,3.99169438273849,19.4750808673244,19.4750808673244,0
"COG",253.5,284.983681881064,284.983681881064,29.3790909531026,34.6864076301777,34.6864076301777,0
"COL",3745.5,5662.62853054957,5662.62853054957,1669.26496402686,1871.74409877784,1871.74409877784,0
"COM",10.92,41.213683949958,41.213683949958,1.26556084105673,5.01626841226008,5.01626841226008,0
"CPV",150.754483312008,76.643929957532,76.643929957532,17.4715174627672,9.32861341161019,9.32861341161019,0
"CRI",447.18,886.223636569434,886.223636569434,199.295663226147,292.935313167239,292.935313167239,0
"CYP",347.64,531.464984179871,531.464984179871,749.137357271408,1092.52394795208,1092.52394795208,0
