"","Tax","SP","value","Vari","Goal","PovertyRateLabel","TaxGDPShareLabel"
"1","Universal_P","Null",190.792949026587,"NPLchg","1.5degree",13.2294160391437,NA
"2","Universal_P","Universal",12.935397766824,"NPLchg","1.5degree",0.896929155727232,NA
"3","Universal_P","Cash",14.4739363578526,"NPLchg","1.5degree",1.0036100745811,NA
"4","Universal_P","SP_current",11.3935698264011,"NPLchg","1.5degree",0.790020156266312,NA
"5","Universal_P","SP_covid",4.64011865386941,"NPLchg","1.5degree",0.321741764861949,NA
"6","Universal_P","PerfectTargeted",-229.946378776971,"NPLchg","1.5degree",-15.9442805777438,NA
"7","Universal_C","Null",190.792949026587,"NPLchg","1.5degree",13.2294160391437,NA
"8","Universal_C","Universal",-1.75919580396705,"NPLchg","1.5degree",-0.121981096805379,NA
"9","Universal_C","Cash",-1.14315462949358,"NPLchg","1.5degree",-0.0792653411344688,NA
"10","Universal_C","SP_current",-9.4334790075569,"NPLchg","1.5degree",-0.654109175020445,NA
"11","Universal_C","SP_covid",-20.4319806942349,"NPLchg","1.5degree",-1.41673565237528,NA
"12","Universal_C","PerfectTargeted",-286.897576252542,"NPLchg","1.5degree",-19.8932267477974,NA
"13","Luxury","Null",134.807066727429,"NPLchg","1.5degree",9.34740397825313,NA
"14","Luxury","Universal",-11.7001937224015,"NPLchg","1.5degree",-0.811281188754291,NA
"15","Luxury","Cash",-57.8374030259427,"NPLchg","1.5degree",-4.01039488701021,NA
"16","Luxury","SP_current",-63.4358380379196,"NPLchg","1.5degree",-4.39858546910154,NA
"17","Luxury","SP_covid",-36.1655276405979,"NPLchg","1.5degree",-2.50768602232753,NA
"18","Luxury","PerfectTargeted",-295.620800054737,"NPLchg","1.5degree",-20.498087448733,NA
"19","CBDR_P","Null",63.2308373357678,"NPLchg","1.5degree",4.38437089990011,NA
"20","CBDR_P","Universal",17.9817314358193,"NPLchg","1.5degree",1.24683751408158,NA
"21","CBDR_P","Cash",-9.25603368268458,"NPLchg","1.5degree",-0.641805271553814,NA
"22","CBDR_P","SP_current",7.90857524330794,"NPLchg","1.5degree",0.548373683117678,NA
"23","CBDR_P","SP_covid",14.3911429273646,"NPLchg","1.5degree",0.997869250599805,NA
"24","CBDR_P","PerfectTargeted",-72.1484949751494,"NPLchg","1.5degree",-5.00271347287218,NA
"25","CBDR_C","Null",57.0300209274042,"NPLchg","1.5degree",3.95441171919077,NA
"26","CBDR_C","Universal",11.979436557577,"NPLchg","1.5degree",0.830643642457822,NA
"27","CBDR_C","Cash",-35.9725541877263,"NPLchg","1.5degree",-2.49430541206088,NA
"28","CBDR_C","SP_current",-15.8832061899682,"NPLchg","1.5degree",-1.10132761087157,NA
"29","CBDR_C","SP_covid",-0.822027547209462,"NPLchg","1.5degree",-0.0569986704076543,NA
"30","CBDR_C","PerfectTargeted",-107.695352834612,"NPLchg","1.5degree",-7.46750147424432,NA
