,Tax,SP,value,Vari,Goal,PovertyRateLabel,TaxGDPShareLabel
1,Universal_P,Null,191.7472081,NPLchg,1.5degree,13.2737529,NA
2,Universal_P,Universal,-230.2360318,NPLchg,1.5degree,-15.93815225,NA
3,Universal_P,Cash,-94.33298294,NPLchg,1.5degree,-6.530226534,NA
4,Universal_P,SP_current,-245.0561338,NPLchg,1.5degree,-16.96407786,NA
5,Universal_P,SP_covid,-260.0352975,NPLchg,1.5degree,-18.00101456,NA
6,Universal_P,PMT,-336.4374885,NPLchg,1.5degree,-23.28997712,NA
7,Universal_C,Null,191.7472081,NPLchg,1.5degree,13.2737529,NA
8,Universal_C,Universal,-310.0294806,NPLchg,1.5degree,-21.46187556,NA
9,Universal_C,Cash,-78.93616644,NPLchg,1.5degree,-5.464377702,NA
10,Universal_C,SP_current,-284.6783827,NPLchg,1.5degree,-19.70693887,NA
11,Universal_C,SP_covid,-329.4038968,NPLchg,1.5degree,-22.80307481,NA
12,Universal_C,PMT,-376.7254613,NPLchg,1.5degree,-26.07892305,NA
13,Luxury,Null,135.7217599,NPLchg,1.5degree,9.395375936,NA
14,Luxury,Universal,-396.0022953,NPLchg,1.5degree,-27.41336716,NA
15,Luxury,Cash,-137.1059595,NPLchg,1.5degree,-9.491197527,NA
16,Luxury,SP_current,-358.0092769,NPLchg,1.5degree,-24.78329007,NA
17,Luxury,SP_covid,-430.7925957,NPLchg,1.5degree,-29.82173521,NA
18,Luxury,PMT,-436.0561558,NPLchg,1.5degree,-30.1861066,NA
19,CBDR_P,Null,63.63077888,NPLchg,1.5degree,4.404858064,NA
20,CBDR_P,Universal,-102.3953202,NPLchg,1.5degree,-7.088344036,NA
21,CBDR_P,Cash,-88.25667444,NPLchg,1.5degree,-6.109592417,NA
22,CBDR_P,SP_current,-108.9142437,NPLchg,1.5degree,-7.539618295,NA
23,CBDR_P,SP_covid,-112.8500371,NPLchg,1.5degree,-7.81207467,NA
24,CBDR_P,PMT,-131.1209029,NPLchg,1.5degree,-9.076880352,NA
25,CBDR_C,Null,57.1327055,NPLchg,1.5degree,3.955027158,NA
26,CBDR_C,Universal,-163.475572,NPLchg,1.5degree,-11.31664117,NA
27,CBDR_C,Cash,-122.4381562,NPLchg,1.5degree,-8.475814839,NA
28,CBDR_C,SP_current,-153.6788963,NPLchg,1.5degree,-10.63846361,NA
29,CBDR_C,SP_covid,-173.4662887,NPLchg,1.5degree,-12.00825126,NA
30,CBDR_C,PMT,-182.7928006,NPLchg,1.5degree,-12.65388159,NA
31,Luxury&CBDR_C,Null,56.86952548,NPLchg,1.5degree,3.936808449,NA
32,Luxury&CBDR_C,Universal,-174.2876148,NPLchg,1.5degree,-12.06510779,NA
33,Luxury&CBDR_C,Cash,-149.6812417,NPLchg,1.5degree,-10.36172488,NA
34,Luxury&CBDR_C,SP_current,-164.8002248,NPLchg,1.5degree,-11.40834061,NA
35,Luxury&CBDR_C,SP_covid,-183.7464383,NPLchg,1.5degree,-12.71989743,NA
36,Luxury&CBDR_C,PMT,-192.8665648,NPLchg,1.5degree,-13.35124068,NA
37,Universal_P,Null,74.86378865,IPLchg,1.5degree,9.987062514,NA
38,Universal_P,Universal,-178.8200696,IPLchg,1.5degree,-23.85515409,NA
39,Universal_P,Cash,-31.4057308,IPLchg,1.5degree,-4.189622279,NA
40,Universal_P,SP_current,-168.0458873,IPLchg,1.5degree,-22.41784462,NA
41,Universal_P,SP_covid,-201.0061356,IPLchg,1.5degree,-26.81484437,NA
42,Universal_P,PMT,-187.6095516,IPLchg,1.5degree,-25.02769836,NA
43,Universal_C,Null,74.86378865,IPLchg,1.5degree,9.987062514,NA
44,Universal_C,Universal,-223.1164276,IPLchg,1.5degree,-29.76442617,NA
45,Universal_C,Cash,-34.22941913,IPLchg,1.5degree,-4.566311094,NA
46,Universal_C,SP_current,-186.2591007,IPLchg,1.5degree,-24.84754399,NA
47,Universal_C,SP_covid,-226.6753256,IPLchg,1.5degree,-30.23919424,NA
48,Universal_C,PMT,-223.1133754,IPLchg,1.5degree,-29.764019,NA
49,Luxury,Null,69.43975015,IPLchg,1.5degree,9.263478888,NA
50,Luxury,Universal,-263.9168611,IPLchg,1.5degree,-35.20733105,NA
51,Luxury,Cash,-62.58579673,IPLchg,1.5degree,-8.349140161,NA
52,Luxury,SP_current,-217.7160543,IPLchg,1.5degree,-29.04399956,NA
53,Luxury,SP_covid,-262.7357263,IPLchg,1.5degree,-35.04976398,NA
54,Luxury,PMT,-252.3143084,IPLchg,1.5degree,-33.65951439,NA
55,CBDR_P,Null,17.82326829,IPLchg,1.5degree,2.377679487,NA
56,CBDR_P,Universal,-49.93996924,IPLchg,1.5degree,-6.662147398,NA
57,CBDR_P,Cash,-61.41548569,IPLchg,1.5degree,-8.193017025,NA
58,CBDR_P,SP_current,-56.54517845,IPLchg,1.5degree,-7.543302874,NA
59,CBDR_P,SP_covid,-60.34636721,IPLchg,1.5degree,-8.05039329,NA
60,CBDR_P,PMT,-74.83113442,IPLchg,1.5degree,-9.982706338,NA
61,CBDR_C,Null,8.376185547,IPLchg,1.5degree,1.117409233,NA
62,CBDR_C,Universal,-83.0219754,IPLchg,1.5degree,-11.07539003,NA
63,CBDR_C,Cash,-83.41587927,IPLchg,1.5degree,-11.12793803,NA
64,CBDR_C,SP_current,-76.32364859,IPLchg,1.5degree,-10.18181238,NA
65,CBDR_C,SP_covid,-95.1837232,IPLchg,1.5degree,-12.69780505,NA
66,CBDR_C,PMT,-121.4258761,IPLchg,1.5degree,-16.19858996,NA
67,Luxury&CBDR_C,Null,5.351491603,IPLchg,1.5degree,0.713905643,NA
68,Luxury&CBDR_C,Universal,-89.1778696,IPLchg,1.5degree,-11.89660548,NA
69,Luxury&CBDR_C,Cash,-86.36467746,IPLchg,1.5degree,-11.52131689,NA
70,Luxury&CBDR_C,SP_current,-104.9510589,IPLchg,1.5degree,-14.00079804,NA
71,Luxury&CBDR_C,SP_covid,-98.92567586,IPLchg,1.5degree,-13.19699319,NA
72,Luxury&CBDR_C,PMT,-128.9662086,IPLchg,1.5degree,-17.2044938,NA
73,Universal_P,Null,0.000394978,LocalGiniChg,1.5degree,NA,NA
74,Universal_P,Universal,-0.079695383,LocalGiniChg,1.5degree,NA,NA
75,Universal_P,Cash,-0.035507832,LocalGiniChg,1.5degree,NA,NA
76,Universal_P,SP_current,-0.06909052,LocalGiniChg,1.5degree,NA,NA
77,Universal_P,SP_covid,-0.080392418,LocalGiniChg,1.5degree,NA,NA
78,Universal_P,PMT,-0.091451277,LocalGiniChg,1.5degree,NA,NA
79,Universal_C,Null,0.000394978,LocalGiniChg,1.5degree,NA,NA
80,Universal_C,Universal,-0.087780027,LocalGiniChg,1.5degree,NA,NA
81,Universal_C,Cash,-0.036198818,LocalGiniChg,1.5degree,NA,NA
82,Universal_C,SP_current,-0.074878608,LocalGiniChg,1.5degree,NA,NA
83,Universal_C,SP_covid,-0.089816735,LocalGiniChg,1.5degree,NA,NA
84,Universal_C,PMT,-0.104517454,LocalGiniChg,1.5degree,NA,NA
85,Luxury,Null,-0.008491305,LocalGiniChg,1.5degree,NA,NA
86,Luxury,Universal,-0.109058372,LocalGiniChg,1.5degree,NA,NA
87,Luxury,Cash,-0.046223772,LocalGiniChg,1.5degree,NA,NA
88,Luxury,SP_current,-0.093820319,LocalGiniChg,1.5degree,NA,NA
89,Luxury,SP_covid,-0.111279755,LocalGiniChg,1.5degree,NA,NA
90,Luxury,PMT,-0.126408433,LocalGiniChg,1.5degree,NA,NA
91,CBDR_P,Null,-0.001088504,LocalGiniChg,1.5degree,NA,NA
92,CBDR_P,Universal,-0.036123065,LocalGiniChg,1.5degree,NA,NA
93,CBDR_P,Cash,-0.024750518,LocalGiniChg,1.5degree,NA,NA
94,CBDR_P,SP_current,-0.027123644,LocalGiniChg,1.5degree,NA,NA
95,CBDR_P,SP_covid,-0.033505117,LocalGiniChg,1.5degree,NA,NA
96,CBDR_P,PMT,-0.034361396,LocalGiniChg,1.5degree,NA,NA
97,CBDR_C,Null,-0.002255433,LocalGiniChg,1.5degree,NA,NA
98,CBDR_C,Universal,-0.042035605,LocalGiniChg,1.5degree,NA,NA
99,CBDR_C,Cash,-0.031133771,LocalGiniChg,1.5degree,NA,NA
100,CBDR_C,SP_current,-0.032952163,LocalGiniChg,1.5degree,NA,NA
101,CBDR_C,SP_covid,-0.039863114,LocalGiniChg,1.5degree,NA,NA
102,CBDR_C,PMT,-0.040620266,LocalGiniChg,1.5degree,NA,NA
103,Luxury&CBDR_C,Null,-0.00503318,LocalGiniChg,1.5degree,NA,NA
104,Luxury&CBDR_C,Universal,-0.048522646,LocalGiniChg,1.5degree,NA,NA
105,Luxury&CBDR_C,Cash,-0.035901348,LocalGiniChg,1.5degree,NA,NA
106,Luxury&CBDR_C,SP_current,-0.039477454,LocalGiniChg,1.5degree,NA,NA
107,Luxury&CBDR_C,SP_covid,-0.04684665,LocalGiniChg,1.5degree,NA,NA
108,Luxury&CBDR_C,PMT,-0.047743079,LocalGiniChg,1.5degree,NA,NA
109,Universal_P,Null,0.011261645,InterGiniChg,1.5degree,NA,NA
110,Universal_P,Universal,0.002943611,InterGiniChg,1.5degree,NA,NA
111,Universal_P,Cash,0.00301253,InterGiniChg,1.5degree,NA,NA
112,Universal_P,SP_current,0.002943611,InterGiniChg,1.5degree,NA,NA
113,Universal_P,SP_covid,0.002943611,InterGiniChg,1.5degree,NA,NA
114,Universal_P,PMT,0.002943611,InterGiniChg,1.5degree,NA,NA
115,Universal_C,Null,0.011261645,InterGiniChg,1.5degree,NA,NA
116,Universal_C,Universal,0.001549637,InterGiniChg,1.5degree,NA,NA
117,Universal_C,Cash,0.00168253,InterGiniChg,1.5degree,NA,NA
118,Universal_C,SP_current,0.001558908,InterGiniChg,1.5degree,NA,NA
119,Universal_C,SP_covid,0.001558908,InterGiniChg,1.5degree,NA,NA
120,Universal_C,PMT,0.001558908,InterGiniChg,1.5degree,NA,NA
121,Luxury,Null,0.01186983,InterGiniChg,1.5degree,NA,NA
