"","Pop","PPop_ipl_ori","PPop_npl_ori","PPop_ipl_tax","PPop_npl_tax","Size","ChgrateIPL"
"S0",7371975398,717815457.61987,1442187232.31669,422352264.664522,889494050.151463,0,-0.411614419582219
"S1",7371975398,717815457.61987,1442187232.31669,421982811.082253,888444994.748413,1,-0.412129111176482
"S2",7371975398,717815457.61987,1442187232.31669,420829496.097129,886675778.490106,2,-0.413735812415473
"S3",7371975398,717815457.61987,1442187232.31669,420311653.354372,885400131.752122,3,-0.414457227282288
"S4",7371975398,717815457.61987,1442187232.31669,419922182.189695,885149593.709786,4,-0.414999805685333
"S5",7371975398,717815457.61987,1442187232.31669,419012132.533431,865967657.750536,5,-0.416267610169903
"S6",7371975398,717815457.61987,1442187232.31669,418855975.271421,865808731.136712,6,-0.416485155306821
"S7",7371975398,717815457.61987,1442187232.31669,418276910.867539,866185592.646793,7,-0.41729185903232
"S8",7371975398,717815457.61987,1442187232.31669,417669602.28984,865782257.225818,8,-0.418137910160437
"S9",7371975398,717815457.61987,1442187232.31669,416566342.473953,864398664.175137,9,-0.419674878756161
"S10",7371975398,717815457.61987,1442187232.31669,415740425.059523,863930006.46489,10,-0.420825477291846
"S11",7371975398,717815457.61987,1442187232.31669,411603422.770139,860561875.886886,11,-0.426588800225991
"S12",7371975398,717815457.61987,1442187232.31669,408416307.127469,859958385.81294,12,-0.431028821137825
"S13",7371975398,717815457.61987,1442187232.31669,408011247.835059,859936956.707462,13,-0.431593115606702
"S14",7371975398,717815457.61987,1442187232.31669,407177582.751589,859907265.059195,14,-0.432754507541942
"S15",7371975398,717815457.61987,1442187232.31669,405896128.419074,859120478.262065,15,-0.434539721720477
"S16",7371975398,717815457.61987,1442187232.31669,405185911.277739,852203282.057864,16,-0.435529136386596
"S17",7371975398,717815457.61987,1442187232.31669,403107233.368104,850746432.920245,17,-0.438424975264917
"S18",7371975398,717815457.61987,1442187232.31669,402091829.546874,849719121.563937,18,-0.43983955029315
"S19",7371975398,717815457.61987,1442187232.31669,401362958.114738,849856122.70383,19,-0.440854952545078
"S20",7371975398,717815457.61987,1442187232.31669,400978731.618667,849813944.942618,20,-0.441390224517829
"S21",7371975398,717815457.61987,1442187232.31669,397206685.718194,849347632.279987,21,-0.446645120968487
"S22",7371975398,717815457.61987,1442187232.31669,396469394.626831,848200396.674798,22,-0.447672252780063
"S23",7371975398,717815457.61987,1442187232.31669,395345691.56205,846812901.17075,23,-0.449237701187244
"S24",7371975398,717815457.61987,1442187232.31669,394167022.081548,846781584.514536,24,-0.450879724172385
