"","Group","Country","TaxScenario","value","Vari"
"1","G10","AFG","Universal_P",0.0442860237228252,"Total_Effect"
"2","G10","AGO","Universal_P",0.0857637606742016,"Total_Effect"
"3","G10","ALB","Universal_P",0.0487064208290838,"Total_Effect"
"4","G10","ARE","Universal_P",0.0575357356003167,"Total_Effect"
"5","G10","ARG","Universal_P",0.0844574218119176,"Total_Effect"
"6","G10","ARM","Universal_P",0.0552214262004521,"Total_Effect"
"7","G10","AUS","Universal_P",0.0338996101598112,"Total_Effect"
"8","G10","AUT","Universal_P",0.0294425958137648,"Total_Effect"
"9","G10","AZE","Universal_P",0.194104285903263,"Total_Effect"
"10","G10","BDI","Universal_P",0.0449672011313123,"Total_Effect"
"11","G10","BEL","Universal_P",0.0300239018029611,"Total_Effect"
"12","G10","BEN","Universal_P",0.0521571880044658,"Total_Effect"
"13","G10","BFA","Universal_P",0.0458786970336801,"Total_Effect"
"14","G10","BGD","Universal_P",0.0347535455702611,"Total_Effect"
"15","G10","BGR","Universal_P",0.0818946455017029,"Total_Effect"
"16","G10","BIH","Universal_P",0.0648631244581254,"Total_Effect"
"17","G10","BLR","Universal_P",0.150582143961832,"Total_Effect"
"18","G10","BLZ","Universal_P",0.0590058517722098,"Total_Effect"
"19","G10","BOL","Universal_P",0.066155069585094,"Total_Effect"
"20","G10","BRA","Universal_P",0.0765482560568719,"Total_Effect"
"21","G10","BTN","Universal_P",0.069536042419141,"Total_Effect"
"22","G10","BWA","Universal_P",0.154078663230121,"Total_Effect"
"23","G10","CAF","Universal_P",0.0127471697120853,"Total_Effect"
"24","G10","CAN","Universal_P",0.0385418540444903,"Total_Effect"
"25","G10","CHE","Universal_P",0.0146828005413388,"Total_Effect"
"26","G10","CHL","Universal_P",0.0956993390627272,"Total_Effect"
"27","G10","CHN","Universal_P",0.0608357372185202,"Total_Effect"
"28","G10","CIV","Universal_P",0.0310463539056227,"Total_Effect"
"29","G10","CMR","Universal_P",0.0270368395398857,"Total_Effect"
"30","G10","COD","Universal_P",0.0246958710113371,"Total_Effect"
"31","G10","COG","Universal_P",0.161850841236118,"Total_Effect"
"32","G10","COL","Universal_P",0.0427193646962506,"Total_Effect"
"33","G10","COM","Universal_P",0.0464849865599438,"Total_Effect"
"34","G10","CPV","Universal_P",0.0948955932051288,"Total_Effect"
"35","G10","CRI","Universal_P",0.0795127707468065,"Total_Effect"
"36","G10","CYP","Universal_P",0.0487755040518326,"Total_Effect"
"37","G10","CZE","Universal_P",0.075635456393702,"Total_Effect"
"38","G10","DEU","Universal_P",0.0344225139583134,"Total_Effect"
"39","G10","DJI","Universal_P",0.0499955875744657,"Total_Effect"
"40","G10","DNK","Universal_P",0.0248188480359633,"Total_Effect"
"41","G10","DOM","Universal_P",0.0829802977045246,"Total_Effect"
"42","G10","DZA","Universal_P",0.159857893830418,"Total_Effect"
"43","G10","ECU","Universal_P",0.128613045394526,"Total_Effect"
"44","G10","EGY","Universal_P",0.0840532244084346,"Total_Effect"
"45","G10","ERI","Universal_P",0.039645035709657,"Total_Effect"
"46","G10","ESP","Universal_P",0.0289898449526598,"Total_Effect"
"47","G10","EST","Universal_P",0.0936853115548569,"Total_Effect"
"48","G10","ETH","Universal_P",0.0272953727099348,"Total_Effect"
"49","G10","FIN","Universal_P",0.0305144040548701,"Total_Effect"
"50","G10","FJI","Universal_P",0.0605863726805247,"Total_Effect"
"51","G10","FRA","Universal_P",0.0229535084593494,"Total_Effect"
"52","G10","FSM","Universal_P",0.0552125495777033,"Total_Effect"
"53","G10","GAB","Universal_P",0.0956605078670475,"Total_Effect"
"54","G10","GBR","Universal_P",0.0332237584277771,"Total_Effect"
"55","G10","GEO","Universal_P",0.0893315051792986,"Total_Effect"
"56","G10","GHA","Universal_P",0.0441337190695818,"Total_Effect"
"57","G10","GIN","Universal_P",0.0665092884987777,"Total_Effect"
"58","G10","GMB","Universal_P",0.04816011551873,"Total_Effect"
"59","G10","GNB","Universal_P",0.056659539385175,"Total_Effect"
"60","G10","GRC","Universal_P",0.0440802025751377,"Total_Effect"
"61","G10","GTM","Universal_P",0.0479936353370386,"Total_Effect"
"62","G10","GUY","Universal_P",0.0985453375145696,"Total_Effect"
"63","G10","HND","Universal_P",0.0326415612797135,"Total_Effect"
"64","G10","HRV","Universal_P",0.0515272102313626,"Total_Effect"
"65","G10","HTI","Universal_P",0.0202983025957686,"Total_Effect"
"66","G10","HUN","Universal_P",0.0581664294317444,"Total_Effect"
"67","G10","IDN","Universal_P",0.0670078732626658,"Total_Effect"
"68","G10","IND","Universal_P",0.0895652211880698,"Total_Effect"
"69","G10","IRL","Universal_P",0.0341032589095186,"Total_Effect"
"70","G10","IRN","Universal_P",0.143206215264289,"Total_Effect"
"71","G10","IRQ","Universal_P",0.160938943667897,"Total_Effect"
"72","G10","ISL","Universal_P",0.015410831976568,"Total_Effect"
"73","G10","ISR","Universal_P",0.0285398919677648,"Total_Effect"
"74","G10","ITA","Universal_P",0.0292295118214812,"Total_Effect"
"75","G10","JAM","Universal_P",0.0549348969615806,"Total_Effect"
