"","Region","Tax_C","Tax_P"
"1","Southern Asia",5.9980153715896,5.84221826731082
"2","Sub-Saharan Africa",10.0068283543124,15.5517625766752
"3","Europe",90.0011737894015,91.8002467463761
"4","Middle East",36.0437495149806,36.3905586231873
"5","Latin America and Caribbean",22.2712832396175,30.0646836656074
"6","Eurasia",15.7664519879241,21.4905664491321
"7","Asia-Pacific Developed",102.78418903157,107.746139292286
"8","China",16.5271665683162,22.2836065148427
"9","North Africa",6.08568311722737,5.79469249568099
"10","East Asia and Developing Pacific",9.32228470503876,11.7108217892399
"11","India",6.08568311722737,5.79469249568099
"12","United States",102.78418903157,107.746139292286
