"","Tax","TaxLevel","SP","value","Vari"
"1","Universal_P",0,"Null",30706.615004915,"CO2_Effect"
"2","Universal_P",10,"Null",29749.2554383427,"CO2_Effect"
"3","Universal_P",20,"Null",28954.1739001981,"CO2_Effect"
"4","Universal_P",30,"Null",28261.1775187771,"CO2_Effect"
"5","Universal_P",40,"Null",27641.8755461258,"CO2_Effect"
"6","Universal_P",50,"Null",27079.6156291974,"CO2_Effect"
"7","Universal_P",60,"Null",26563.3990034067,"CO2_Effect"
"8","Universal_P",70,"Null",26085.411172474,"CO2_Effect"
"9","Universal_P",80,"Null",25639.8221920523,"CO2_Effect"
"10","Universal_P",90,"Null",25222.1282614708,"CO2_Effect"
"11","Universal_P",100,"Null",24828.7575520246,"CO2_Effect"
"12","Universal_P",0,"Universal",30706.615004915,"CO2_Effect"
"13","Universal_P",10,"Universal",29933.0343278713,"CO2_Effect"
"14","Universal_P",20,"Universal",29306.7907655158,"CO2_Effect"
"15","Universal_P",30,"Universal",28771.5770814502,"CO2_Effect"
"16","Universal_P",40,"Universal",28301.2098239719,"CO2_Effect"
"17","Universal_P",50,"Universal",27880.5179404495,"CO2_Effect"
"18","Universal_P",60,"Universal",27499.5828200545,"CO2_Effect"
"19","Universal_P",70,"Universal",27151.4170045564,"CO2_Effect"
"20","Universal_P",80,"Universal",26830.8446049566,"CO2_Effect"
"21","Universal_P",90,"Universal",26533.8913189033,"CO2_Effect"
"22","Universal_P",100,"Universal",26257.4217764973,"CO2_Effect"
"23","Universal_P",0,"Cash",30706.615004915,"CO2_Effect"
"24","Universal_P",10,"Cash",29937.579954782,"CO2_Effect"
"25","Universal_P",20,"Cash",29315.1896620453,"CO2_Effect"
"26","Universal_P",30,"Cash",28783.2840819557,"CO2_Effect"
"27","Universal_P",40,"Cash",28315.7842633445,"CO2_Effect"
"28","Universal_P",50,"Cash",27897.5956512047,"CO2_Effect"
"29","Universal_P",60,"Cash",27518.8577999839,"CO2_Effect"
"30","Universal_P",70,"Cash",27172.6288118359,"CO2_Effect"
