"","SP","GF","value","Vari","Goal","Tax","PovertyRateLabel","TaxGDPShareLabel"
"1","Universal","His.PoverPop",-368.210968464344,"NPLchg","1.5degree","Luxury",-25.6711788037951,NA
"2","Universal","His.Pop",-290.933630917641,"NPLchg","1.5degree","Luxury",-20.2835056502325,NA
"3","Universal","His.PoverGap",-347.266586178878,"NPLchg","1.5degree","Luxury",-24.2109643380837,NA
"4","Universal","Curren.PoverPop",-368.565939870556,"NPLchg","1.5degree","Luxury",-25.6959269379344,NA
"5","Universal","Curren.Pop",-291.288602323853,"NPLchg","1.5degree","Luxury",-20.3082537843718,NA
"6","Universal","Curren.PoverGap",-347.62155758509,"NPLchg","1.5degree","Luxury",-24.235712472223,NA
"7","SP_covid","His.PoverPop",-341.9131222413,"NPLchg","1.5degree","Luxury",-23.8377279553263,NA
"8","SP_covid","His.Pop",-308.26226896217,"NPLchg","1.5degree","Luxury",-21.4916352383397,NA
"9","SP_covid","His.PoverGap",-321.420866956425,"NPLchg","1.5degree","Luxury",-22.4090351825254,NA
"10","SP_covid","Curren.PoverPop",-342.101650971959,"NPLchg","1.5degree","Luxury",-23.8508719275838,NA
"11","SP_covid","Curren.Pop",-308.467284169463,"NPLchg","1.5degree","Luxury",-21.5059286258122,NA
"12","SP_covid","Curren.PoverGap",-321.609395687083,"NPLchg","1.5degree","Luxury",-22.4221791547829,NA
"13","PerfectTargeted","His.PoverPop",-779.382608415359,"NPLchg","1.5degree","Luxury",-54.3375184629689,NA
"14","PerfectTargeted","His.Pop",-629.950025485101,"NPLchg","1.5degree","Luxury",-43.919277606336,NA
"15","PerfectTargeted","His.PoverGap",-786.714193303763,"NPLchg","1.5degree","Luxury",-54.848666806459,NA
"16","PerfectTargeted","Curren.PoverPop",-781.044689004953,"NPLchg","1.5degree","Luxury",-54.4533965102192,NA
"17","PerfectTargeted","Curren.Pop",-631.612106074695,"NPLchg","1.5degree","Luxury",-44.0351556535863,NA
"18","PerfectTargeted","Curren.PoverGap",-788.376273893357,"NPLchg","1.5degree","Luxury",-54.9645448537093,NA
"19","Universal","His.PoverPop",-279.330592779975,"IPLchg","1.5degree","Luxury",-39.5041583831945,NA
"20","Universal","His.Pop",-202.767106924821,"IPLchg","1.5degree","Luxury",-28.6762141845657,NA
"21","Universal","His.PoverGap",-262.69107000594,"IPLchg","1.5degree","Luxury",-37.1509240433954,NA
"22","Universal","Curren.PoverPop",-279.302693710948,"IPLchg","1.5degree","Luxury",-39.5002127744066,NA
"23","Universal","Curren.Pop",-202.739207855794,"IPLchg","1.5degree","Luxury",-28.6722685757778,NA
"24","Universal","Curren.PoverGap",-262.663170936912,"IPLchg","1.5degree","Luxury",-37.1469784346075,NA
"25","SP_covid","His.PoverPop",-259.616781245735,"IPLchg","1.5degree","Luxury",-36.716144634201,NA
"26","SP_covid","His.Pop",-207.504887924469,"IPLchg","1.5degree","Luxury",-29.3462519671526,NA
"27","SP_covid","His.PoverGap",-247.251713783418,"IPLchg","1.5degree","Luxury",-34.9674225247147,NA
"28","SP_covid","Curren.PoverPop",-259.589434815306,"IPLchg","1.5degree","Luxury",-36.7122771819891,NA
"29","SP_covid","Curren.Pop",-207.478386867336,"IPLchg","1.5degree","Luxury",-29.3425040713426,NA
"30","SP_covid","Curren.PoverGap",-247.224367352988,"IPLchg","1.5degree","Luxury",-34.9635550725028,NA
"31","PerfectTargeted","His.PoverPop",-496.577436107708,"IPLchg","1.5degree","Luxury",-70.2281604398823,NA
"32","PerfectTargeted","His.Pop",-347.133968525634,"IPLchg","1.5degree","Luxury",-49.0932093629473,NA
"33","PerfectTargeted","His.PoverGap",-515.103001029854,"IPLchg","1.5degree","Luxury",-72.8481271379055,NA
"34","PerfectTargeted","Curren.PoverPop",-496.594600822387,"IPLchg","1.5degree","Luxury",-70.2305879491663,NA
"35","PerfectTargeted","Curren.Pop",-347.151133240313,"IPLchg","1.5degree","Luxury",-49.0956368722314,NA
"36","PerfectTargeted","Curren.PoverGap",-515.120165744533,"IPLchg","1.5degree","Luxury",-72.8505546471895,NA
"37","Universal","His.PoverPop",-0.0785056815956409,"LocalGiniChg","1.5degree","Luxury",NA,NA
"38","Universal","His.Pop",-0.0704642418370711,"LocalGiniChg","1.5degree","Luxury",NA,NA
"39","Universal","His.PoverGap",-0.0766577312665036,"LocalGiniChg","1.5degree","Luxury",NA,NA
"40","Universal","Curren.PoverPop",-0.0785496770236902,"LocalGiniChg","1.5degree","Luxury",NA,NA
"41","Universal","Curren.Pop",-0.0705082372651202,"LocalGiniChg","1.5degree","Luxury",NA,NA
"42","Universal","Curren.PoverGap",-0.0767017266945527,"LocalGiniChg","1.5degree","Luxury",NA,NA
"43","SP_covid","His.PoverPop",-0.0664957545045566,"LocalGiniChg","1.5degree","Luxury",NA,NA
"44","SP_covid","His.Pop",-0.0706854280029473,"LocalGiniChg","1.5degree","Luxury",NA,NA
"45","SP_covid","His.PoverGap",-0.0633035760885234,"LocalGiniChg","1.5degree","Luxury",NA,NA
"46","SP_covid","Curren.PoverPop",-0.0665072564579869,"LocalGiniChg","1.5degree","Luxury",NA,NA
"47","SP_covid","Curren.Pop",-0.0706971429695861,"LocalGiniChg","1.5degree","Luxury",NA,NA
"48","SP_covid","Curren.PoverGap",-0.0633150780419535,"LocalGiniChg","1.5degree","Luxury",NA,NA
"49","PerfectTargeted","His.PoverPop",-0.170707098377372,"LocalGiniChg","1.5degree","Luxury",NA,NA
"50","PerfectTargeted","His.Pop",-0.158937733193033,"LocalGiniChg","1.5degree","Luxury",NA,NA
"51","PerfectTargeted","His.PoverGap",-0.167545292634981,"LocalGiniChg","1.5degree","Luxury",NA,NA
"52","PerfectTargeted","Curren.PoverPop",-0.17080069436098,"LocalGiniChg","1.5degree","Luxury",NA,NA
"53","PerfectTargeted","Curren.Pop",-0.159031329176641,"LocalGiniChg","1.5degree","Luxury",NA,NA
"54","PerfectTargeted","Curren.PoverGap",-0.167638888618589,"LocalGiniChg","1.5degree","Luxury",NA,NA
"55","Universal","His.PoverPop",-0.00639932757261758,"InterGiniChg","1.5degree","Luxury",NA,NA
"56","Universal","His.Pop",-0.00352183130666992,"InterGiniChg","1.5degree","Luxury",NA,NA
"57","Universal","His.PoverGap",-0.0066143864962473,"InterGiniChg","1.5degree","Luxury",NA,NA
"58","Universal","Curren.PoverPop",-0.0064542497695633,"InterGiniChg","1.5degree","Luxury",NA,NA
"59","Universal","Curren.Pop",-0.00357662114945453,"InterGiniChg","1.5degree","Luxury",NA,NA
"60","Universal","Curren.PoverGap",-0.00666865490498657,"InterGiniChg","1.5degree","Luxury",NA,NA
"61","SP_covid","His.PoverPop",-0.00639932757261704,"InterGiniChg","1.5degree","Luxury",NA,NA
"62","SP_covid","His.Pop",-0.00354154661965211,"InterGiniChg","1.5degree","Luxury",NA,NA
"63","SP_covid","His.PoverGap",-0.0066143864962473,"InterGiniChg","1.5degree","Luxury",NA,NA
"64","SP_covid","Curren.PoverPop",-0.0064542497695633,"InterGiniChg","1.5degree","Luxury",NA,NA
"65","SP_covid","Curren.Pop",-0.00359631689615891,"InterGiniChg","1.5degree","Luxury",NA,NA
"66","SP_covid","Curren.PoverGap",-0.00666865490498657,"InterGiniChg","1.5degree","Luxury",NA,NA
"67","PerfectTargeted","His.PoverPop",-0.00643915370626853,"InterGiniChg","1.5degree","Luxury",NA,NA
