"","SP","GF","value","Vari","Goal","Tax","PovertyRateLabel","TaxGDPShareLabel"
"1","Universal","His.PoverPop",20,"TaxLevel","2.0degree","Luxury",NA,0.782099122869895
"2","Universal","His.Pop",20,"TaxLevel","2.0degree","Luxury",NA,0.782099122869895
"3","Universal","His.PoverGap",20,"TaxLevel","2.0degree","Luxury",NA,0.782099122869895
"4","Universal","Curren.PoverPop",20,"TaxLevel","2.0degree","Luxury",NA,0.782099122869895
"5","Universal","Curren.Pop",20,"TaxLevel","2.0degree","Luxury",NA,0.782099122869895
"6","Universal","Curren.PoverGap",20,"TaxLevel","2.0degree","Luxury",NA,0.782099122869895
"7","SP_covid","His.PoverPop",20,"TaxLevel","2.0degree","Luxury",NA,0.782099122869895
"8","SP_covid","His.Pop",20,"TaxLevel","2.0degree","Luxury",NA,0.782099122869895
"9","SP_covid","His.PoverGap",20,"TaxLevel","2.0degree","Luxury",NA,0.782099122869895
"10","SP_covid","Curren.PoverPop",20,"TaxLevel","2.0degree","Luxury",NA,0.782099122869895
"11","SP_covid","Curren.Pop",20,"TaxLevel","2.0degree","Luxury",NA,0.782099122869895
"12","SP_covid","Curren.PoverGap",20,"TaxLevel","2.0degree","Luxury",NA,0.782099122869895
"13","PerfectTargeted","His.PoverPop",21,"TaxLevel","2.0degree","Luxury",NA,0.82120407901339
"14","PerfectTargeted","His.Pop",21,"TaxLevel","2.0degree","Luxury",NA,0.82120407901339
"15","PerfectTargeted","His.PoverGap",20,"TaxLevel","2.0degree","Luxury",NA,0.782099122869895
"16","PerfectTargeted","Curren.PoverPop",21,"TaxLevel","2.0degree","Luxury",NA,0.82120407901339
"17","PerfectTargeted","Curren.Pop",21,"TaxLevel","2.0degree","Luxury",NA,0.82120407901339
"18","PerfectTargeted","Curren.PoverGap",20,"TaxLevel","2.0degree","Luxury",NA,0.782099122869895
"19","Universal","His.PoverPop",48,"TaxLevel","1.5degree","Luxury",NA,1.87703789488775
"20","Universal","His.Pop",48,"TaxLevel","1.5degree","Luxury",NA,1.87703789488775
"21","Universal","His.PoverGap",48,"TaxLevel","1.5degree","Luxury",NA,1.87703789488775
"22","Universal","Curren.PoverPop",48,"TaxLevel","1.5degree","Luxury",NA,1.87703789488775
"23","Universal","Curren.Pop",48,"TaxLevel","1.5degree","Luxury",NA,1.87703789488775
"24","Universal","Curren.PoverGap",48,"TaxLevel","1.5degree","Luxury",NA,1.87703789488775
"25","SP_covid","His.PoverPop",48,"TaxLevel","1.5degree","Luxury",NA,1.87703789488775
"26","SP_covid","His.Pop",49,"TaxLevel","1.5degree","Luxury",NA,1.91614285103124
"27","SP_covid","His.PoverGap",48,"TaxLevel","1.5degree","Luxury",NA,1.87703789488775
"28","SP_covid","Curren.PoverPop",48,"TaxLevel","1.5degree","Luxury",NA,1.87703789488775
"29","SP_covid","Curren.Pop",49,"TaxLevel","1.5degree","Luxury",NA,1.91614285103124
"30","SP_covid","Curren.PoverGap",48,"TaxLevel","1.5degree","Luxury",NA,1.87703789488775
"31","PerfectTargeted","His.PoverPop",50,"TaxLevel","1.5degree","Luxury",NA,1.95524780717474
"32","PerfectTargeted","His.Pop",50,"TaxLevel","1.5degree","Luxury",NA,1.95524780717474
"33","PerfectTargeted","His.PoverGap",50,"TaxLevel","1.5degree","Luxury",NA,1.95524780717474
"34","PerfectTargeted","Curren.PoverPop",50,"TaxLevel","1.5degree","Luxury",NA,1.95524780717474
"35","PerfectTargeted","Curren.Pop",50,"TaxLevel","1.5degree","Luxury",NA,1.95524780717474
"36","PerfectTargeted","Curren.PoverGap",50,"TaxLevel","1.5degree","Luxury",NA,1.95524780717474
