"","Pop","PPop_npl_ori","PR_npl_ori","PPop_ipl_ori","PR_ipl_ori","Gini_ori","PPop_npl_tax","PR_npl_tax","PPop_ipl_tax","PR_ipl_tax","Gini_tax","CO2_ori","CO2_tax","IPL_Change_rate","NPL_Change_rate"
"Afghanistan",36296111,19781380.2525623,0.544999993320559,30270956.633255,0.834000001632545,0.322913307273083,14745672.377631,0.406260394608971,23201027.9055053,0.639215256574054,0.327273733292145,17.6391036073484,18.9965753339068,-0.233554849732856,-0.254568074150387
"Angola",29816769,9630816.51341296,0.32300000423966,9279576.77300636,0.311220064555162,0.520802267453499,8705629.72825328,0.291970928448125,8464137.9294055,0.283871734372208,0.490407508636963,24.8007798514595,23.3328475623903,-0.0878745726823352,-0.0960652488676491
"Albania",2873457,485997.273625117,0.169133303064955,11280.328365281,0.00392569938066969,0.356818246408467,454588.965441892,0.158202807782365,8920.95371651325,0.0031046066520269,0.339557161383432,7.46329645956141,7.12686588422224,-0.209158330534908,-0.0646265110685627
"United Arab Emirates",9487206,37948.824293718,0.00400000003095937,0,0,0.393923873121619,38984.9955827774,0.00410921778053279,4950.94438878658,0.000521854842066945,0.400715021855128,250.990547585367,236.175271130362,Inf,0.027304437182022
"Argentina",44044811,18498820.6237836,0.420000000085904,484492.919762656,0.0109999999719072,0.502613348834742,18262120.9946899,0.414625936178722,14308.47963968,0.000324861869419306,0.482053157127979,196.278344779157,185.230454414038,-0.970467102704639,-0.0127953902525779
"Armenia",2944789,777424.29962292,0.264000001230282,23135.8695378447,0.0078565457619696,0.366079975043305,681613.305402787,0.231464225587228,9437.31435819732,0.00320475061479696,0.351240587260767,7.29830455803336,6.57050270755527,-0.592091650466815,-0.123241573831182
"Australia",24601860,246018.599711681,0.0099999999882806,122294.362748915,0.00497093970736012,0.314599957343005,177503.053433196,0.0072150257514349,82229.2377134982,0.00334239922158317,0.303307597551357,381.087333963713,354.231159567747,-0.327612198427126,-0.278497424010953
"Austria",8797566,61582.9619466311,0.00699999999393367,27984.1443521715,0.00318089621063047,0.127960344506615,55222.4999498949,0.0062770202519532,24893.4998930267,0.00282958944474264,0.131670800523829,81.6669338940465,75.7863473893696,-0.110442699989323,-0.103282820372432
"Azerbaijan",9854033,591241.955890529,0.0599999975533397,0,0,0.429445796262849,113317.061107218,0.0114995617639212,0,0,0.397276132741751,33.7393789330447,29.2318812044771,NA,-0.808340629452557
"Burundi",10827010,7026729.74384098,0.64900002344516,7051944.78318029,0.651328924899884,0.547509056327696,3197762.513559,0.295350471973241,3208106.44395824,0.296305853966907,0.428067539334491,1.36793145777902,1.77356846177804,-0.545074934277712,-0.544914543445778
"Belgium",11375158,1683523.3844332,0.148000000038083,16820.2849365135,0.00147868582893649,0.132249017612084,1634961.81381445,0.143730910270824,10836.0974835797,0.000952610722732789,0.132384600874363,136.927246214185,129.007889373294,-0.355772061859867,-0.0288452011227023
"Benin",11175192,4302448.67069034,0.384999977690794,2244222.87905069,0.20082186319937,0.447475388707769,3568020.37007772,0.319280453532943,1472708.13886115,0.1317836990059,0.421537256638588,11.2096782503942,10.2339210793341,-0.343778128006562,-0.170700072639048
"Burkina Faso",19193236,7945999.86902568,0.414000008598117,5989023.31496903,0.312038226121381,0.376373588652913,5311619.3652248,0.276744336662395,2893070.01635012,0.150733832291236,0.325625683986432,5.49860039856134,5.47240701202996,-0.516937927237793,-0.331535432572805
"Bangladesh",159685421,38803557.9381454,0.243000003977479,21506916.7132071,0.134683032292642,0.310566731785673,32005894.7764352,0.200430913329497,15273636.6276271,0.0956482848088375,0.291844272531027,120.389487665225,113.402263658601,-0.289826764510239,-0.175181440128402
"Bulgaria",7075947,2107298.28838696,0.297811485640998,97065.4606701263,0.0137176636102738,0.278459827508464,1778889.98887231,0.251399563743525,45155.53289426,0.00638155329516459,0.266944780806294,36.3541532271001,33.558273937631,-0.534792988334753,-0.155843290588936
"Bosnia and Herzegovina",3351534,566409.254467661,0.169000002526503,2512.9385618746,0.000749787578426655,0.312310921417696,221181.354636935,0.0659940655941234,218.54906466759,6.52086670365241e-05,0.270980255391404,15.2759585335237,14.5467138311538,-0.913030478347805,-0.609502576286803
"Belarus",9458989,558080.34407926,0.0589999992683425,0,0,0.188843760174716,319106.529778626,0.0337357966880631,0,0,0.168445923434384,53.1159906030383,52.0543785283795,NA,-0.428206828704748
"Belize",375775,101196.207283252,0.269299999423199,49038.6375954399,0.130500000253982,0.465175266847078,88107.742987125,0.234469411182556,38140.8375413896,0.101499135230895,0.450348009428661,1.03600518091237,1.00971405983316,-0.222228850319115,-0.129337498385609
"Bolivia",11192853,4163741.32518347,0.372000000820477,552183.896434077,0.0493336146230168,0.416081216292232,3898485.0171349,0.348301279140797,169125.899257054,0.0151101688959065,0.388426317763045,23.2764459784954,21.4840153194422,-0.69371453903447,-0.0637062409338995
"Brazil",207833825,55075963.7134001,0.26500000042534,11020911.4952805,0.0530275160709789,0.502793081543345,49275373.533987,0.23709025003022,2340690.41564223,0.0112623169767589,0.481366387524779,452.517226284222,453.863762765009,-0.787613718099035,-0.10531981264273
"Bhutan",745563,61136.1661840709,0.0820000002468885,7051.25441667038,0.00945762385830625,0.364677170108049,64442.360424543,0.086434493697438,7452.00817898758,0.00999514216637303,0.371433137089696,1.45117086044807,1.3854452792426,0.0568343926677415,0.0540791882585117
"Botswana",2205076,425579.662122165,0.192999997334407,340160.364445451,0.15426242199609,0.587890080606119,94362.8731978199,0.0427934788632319,39271.6295409769,0.0178096489830631,0.524436355096627,11.4863985326619,10.7334598337472,-0.884549660554957,-0.778272127179958
"Central African Republic",4596023,3720480.62446651,0.809500001298189,3720480.62446651,0.809500001298189,0.297057666932757,3442055.69686341,0.74892046816637,3442055.69686341,0.74892046816637,0.434368576253115,0.292427144955662,0.33756296465706,-0.0748357418587618,-0.0748357418587618
"Canada",36545236,255816.65346441,0.00700000004007116,90270.622794142,0.00247010643997871,0.469978522929364,77182.61725107,0.0021119747934059,4975.01570077216,0.00013613308450853,0.456462327313185,507.211489801369,460.728330946458,-0.944887765844737,-0.698289316954856
"Switzerland",8451840,1233968.63982297,0.145999999979055,0,0,0.343701063184984,1210479.21297866,0.14322079132812,0,0,0.336745316512847,102.374083297341,95.5608539102685,NA,-0.0190356756940634
"Chile",18470435,1994806.97638303,0.107999999804175,66439.6176028533,0.00359707920267461,0.494946061951861,1458419.79185,0.0789596883803765,6523.29975178474,0.00035317520955975,0.48066572326448,87.6238814256207,85.9664425446447,-0.901816115336814,-0.268891772930134
"China",1396215000,43282665.0183771,0.0310000000131621,1129589.20988256,0.000809036724202622,0.407191006968709,6121136.85337444,0.00438409331899059,0,0,0.366060541464813,8295.086631422,7528.06698511578,-1,-0.858577634931317
"Cote d'Ivoire",24437475,9652802.59490431,0.394999998768461,2810851.40743138,0.11502217014775,0.425846684228007,9204772.32667155,0.376666260596545,2265082.10435739,0.0926888765863654,0.41686588646336,14.9580044076186,14.224976998179,-0.194165120799726,-0.0464145271622226
"Cameroon",24566070,9212276.27767017,0.375000001126357,6303043.85578992,0.256575180962601,0.451638599846971,9425584.82748658,0.383683056650355,6484638.71270612,0.263967281405048,0.469160603596905,9.60707200903254,9.42003376121911,0.0288106605429039,0.0231548146611121
"Congo, Dem. Rep.",81398765,52013810.4379967,0.638999995122735,56725542.2452553,0.696884556482587,0.406370605666777,41166515.3306107,0.505738819632101,44784263.461721,0.550183574182249,0.417373111846822,7.26121004128379,8.2544889891209,-0.210509733550112,-0.208546442109187
"Congo, Rep.",5110701,2090277.8588041,0.409000224979725,1807013.76933924,0.353574542775882,0.359543501879506,1898570.6162539,0.371489276374004,1542065.44529977,0.301732667455946,0.347323170580458,4.74972803135106,4.52762551467459,-0.146622194326918,-0.0917137603226996
"Colombia",48909844,17460814.2791787,0.356999999410726,2122423.12231503,0.0433946001200705,0.494737538554344,16410694.1154,0.335529471641742,765983.136009547,0.0156611240880169,0.473913471032426,89.7196372742571,87.1124644535223,-0.639099702620064,-0.0601415344661747
"Comoros",813890,345089.363768321,0.424000004630013,151739.39189758,0.186437223577608,0.577294650333006,347575.082650209,0.427054126049232,157683.375879119,0.19374040211714,0.573819895477687,0.685304072785217,0.625257805818601,0.0391723197727804,0.00720311647610555
"Cabo Verde",537499,188124.648281663,0.349999996803089,24532.6969206986,0.0456423117451355,0.447536227523343,167634.946389237,0.311879550267511,11194.0701974492,0.0208262158579815,0.426949381894,1.47811114473684,1.41311159081634,-0.543708128232546,-0.10891556252506
"Costa Rica",4949955,1484986.49824968,0.299999999646396,58030.8502043865,0.0117235106590639,0.496635372329324,1419157.91076115,0.286701174204846,26605.6080113947,0.0053749191682338,0.48500189269719,14.7703939428239,14.4288825991668,-0.541526482591778,-0.0443294181907503
"Cyprus",1179685,181671.490202541,0.154000000171691,1008.92339114508,0.00085524813076803,0.221336772548155,176419.893190063,0.149548305852887,510.217000139448,0.000432502744494884,0.227631930613465,8.92175730450996,8.22623789615593,-0.494295598043005,-0.0289071059340337
"Czech Republic",10594438,911121.672913471,0.0860000004637784,0,0,0.138256587480801,922197.745530019,0.0870454615459564,0,0,0.138601406472058,75.3782787979962,65.8490194810655,NA,0.0121565241458147
