"","His.PoverPop","His.Pop","His.PoverGap","Curren.PoverPop","Curren.Pop","Curren.PoverGap"
"AFG",4352.59293234806,602.41485358343,11530.8017511887,4352.59293234806,602.41485358343,11530.8017511887
"AGO",1334.28951568718,494.875732870278,2069.20830005667,1334.28951568718,494.875732870278,2069.20830005667
"ALB",-27.0075363925954,-27.0075363925954,-27.0075363925954,-40.4602057217423,-40.4602057217423,-40.4602057217423
"ARE",0,157.461327286712,0,0,157.461327286712,0
"ARG",69.6641501421377,731.021799268656,104.053856458522,69.6641501421377,731.021799268656,104.053856458522
"ARM",3.32665483525264,48.8753363760954,3.38785723924448,3.32665483525264,48.8753363760954,3.38785723924448
"AUS",-1743.47659181918,-1743.47659181918,-1743.47659181918,-3063.32572292626,-3063.32572292626,-3063.32572292626
"AUT",-509.506762131805,-509.506762131805,-509.506762131805,-518.425922713273,-518.425922713273,-518.425922713273
"AZE",0,163.549638882835,0,0,163.549638882835,0
"BDI",1013.98332485087,179.698360628673,345.3578386851,1013.98332485087,179.698360628673,345.3578386851
"BEL",-1149.1834260573,-1149.1834260573,-1149.1834260573,-729.85805862965,-729.85805862965,-729.85805862965
"BEN",322.691776005888,185.477216896508,240.868554417074,322.691776005888,185.477216896508,240.868554417074
"BFA",861.148237218899,318.554526536802,341.841564603206,861.148237218899,318.554526536802,341.841564603206
"BGD",3092.43124264169,2650.33544533527,2166.05030412968,3092.43124264169,2650.33544533527,2166.05030412968
"BGR",-356.004111652944,-356.004111652944,-356.004111652944,-345.407376732115,-345.407376732115,-345.407376732115
"BIH",-88.6371063035451,-88.6371063035451,-88.6371063035451,-178.528696877965,-178.528696877965,-178.528696877965
"BLR",-460.296483390116,-460.296483390116,-460.296483390116,-440.890294441415,-440.890294441415,-440.890294441415
"BLZ",7.05115566707293,6.23682359813462,17.4962070800217,7.05115566707293,6.23682359813462,17.4962070800217
"BOL",79.3972816301769,185.770340551798,48.8315671347902,79.3972816301769,185.770340551798,48.8315671347902
"BRA",1584.67216791182,3449.46551593528,2405.54586846016,1584.67216791182,3449.46551593528,2405.54586846016
"BTN",1.01388406675515,12.3742795883069,0.416546269254904,1.01388406675515,12.3742795883069,0.416546269254904
"BWA",48.9108951106737,36.5981505754249,53.4417341054285,48.9108951106737,36.5981505754249,53.4417341054285
"CAF",534.95956116993,76.2812446383327,703.790548832071,534.95956116993,76.2812446383327,703.790548832071
"CAN",-3135.60432543996,-3135.60432543996,-3135.60432543996,-4471.71886282195,-4471.71886282195,-4471.71886282195
"CHE",-281.224570585162,-281.224570585162,-281.224570585162,-304.632302134808,-304.632302134808,-304.632302134808
"CHL",9.55320366109628,306.558033067159,7.78394429775654,9.55320366109628,306.558033067159,7.78394429775654
"CHN",162.421113653344,23173.2996076629,33.8123025376675,162.421113653344,23173.2996076629,33.8123025376675
"CIV",404.166017929984,405.594360345486,310.751367065014,404.166017929984,405.594360345486,310.751367065014
"CMR",906.300522300936,407.728680964479,721.809300128815,906.300522300936,407.728680964479,721.809300128815
"COD",8156.43853017107,1350.99391500503,8481.97383882723,8156.43853017107,1350.99391500503,8481.97383882723
"COG",259.826454931649,84.8234730884444,244.893755522915,259.826454931649,84.8234730884444,244.893755522915
"COL",305.178461784934,811.767864387687,329.813060000023,305.178461784934,811.767864387687,329.813060000023
"COM",21.8182660151279,13.508318430672,14.8985053261699,21.8182660151279,13.508318430672,14.8985053261699
"CPV",3.5275013821241,8.92099380526581,4.12622833558829,3.5275013821241,8.92099380526581,4.12622833558829
"CRI",8.34412562877721,82.1555349709386,10.0560684706152,8.34412562877721,82.1555349709386,10.0560684706152
"CYP",-27.709024760353,-27.709024760353,-27.709024760353,-57.935238764442,-57.935238764442,-57.935238764442
"CZE",-1110.02890082872,-1110.02890082872,-1110.02890082872,-801.568663375649,-801.568663375649,-801.568663375649
"DEU",-8552.568554246,-8552.568554246,-8552.568554246,-5763.61165231203,-5763.61165231203,-5763.61165231203
"DJI",25.9000278869689,15.6694435739442,38.2791369119546,25.9000278869689,15.6694435739442,38.2791369119546
"DNK",-378.092507974551,-378.092507974551,-378.092507974551,-260.787294473996,-260.787294473996,-260.787294473996
"DOM",15.1399237742873,174.488507150845,13.5258902564211,15.1399237742873,174.488507150845,13.5258902564211
"DZA",0,686.945584752844,0,0,686.945584752844,0
"ECU",77.5527842419521,278.590391601066,88.8017023324735,77.5527842419521,278.590391601066,88.8017023324735
"EGY",347.354292664013,1600.67971838792,296.499573725504,347.354292664013,1600.67971838792,296.499573725504
"ERI",346.597043935204,53.3429783856646,541.115500455792,346.597043935204,53.3429783856646,541.115500455792
"ESP",-1387.69405146516,-1387.69405146516,-1387.69405146516,-2073.78248408012,-2073.78248408012,-2073.78248408012
"EST",-150.778994262442,-150.778994262442,-150.778994262442,-131.535022982434,-131.535022982434,-131.535022982434
"ETH",4128.37661511545,1765.94390078259,2254.34061549042,4128.37661511545,1765.94390078259,2254.34061549042
"FIN",-296.513043071172,-296.513043071172,-296.513043071172,-338.637765347001,-338.637765347001,-338.637765347001
"FJI",1.66323354774532,14.5634042563215,0.713768984162989,1.66323354774532,14.5634042563215,0.713768984162989
"FRA",-3564.83064796925,-3564.83064796925,-3564.83064796925,-2501.84182398529,-2501.84182398529,-2501.84182398529
"FSM",2.56883396366423,1.84994370320453,2.64815576739843,2.56883396366423,1.84994370320453,2.64815576739843
"GAB",7.32926676145906,34.2701568952473,8.37985528276331,7.32926676145906,34.2701568952473,8.37985528276331
"GBR",-6886.83490389342,-6886.83490389342,-6886.83490389342,-2888.89025011437,-2888.89025011437,-2888.89025011437
"GEO",33.3946547202031,61.8745348177507,32.7037885946233,33.3946547202031,61.8745348177507,32.7037885946233
"GHA",1055.56027706419,483.335596799755,1641.42594917104,1055.56027706419,483.335596799755,1641.42594917104
"GIN",239.800984162009,200.287322359569,61.908688713781,239.800984162009,200.287322359569,61.908688713781
"GMB",42.5993626283454,36.7446045210837,18.3401079375366,42.5993626283454,36.7446045210837,18.3401079375366
"GNB",56.93785123002,30.3421571781928,21.9515521042022,56.93785123002,30.3421571781928,21.9515521042022
"GRC",-379.845852806547,-379.845852806547,-379.845852806547,-525.825279356494,-525.825279356494,-525.825279356494
"GTM",220.244274642734,267.006555027492,294.013897033557,220.244274642734,267.006555027492,294.013897033557
"GUY",8.82817507477082,12.8664704040948,14.9865425175523,8.82817507477082,12.8664704040948,14.9865425175523
"HND",187.849983719924,156.495534551231,94.0209659382785,187.849983719924,156.495534551231,94.0209659382785
"HRV",-102.767473125337,-102.767473125337,-102.767473125337,-137.045173879241,-137.045173879241,-137.045173879241
