"","His.PoverPop","His.Pop","His.PoverGap","Curren.PoverPop","Curren.Pop","Curren.PoverGap","Reg"
"Southern Asia",9287.91675049584,7538.56722877099,14539.3760965922,9287.91675049584,7538.56722877099,14539.3760965922,"Southern Asia"
"Sub-Saharan Africa",55778.0832586981,17405.5448443395,64541.2226221894,55778.0832586981,17405.5448443395,64541.2226221894,"Sub-Saharan Africa"
"Europe",-38556.3561390748,-38556.3561390748,-38556.3561390748,-31801.2502356958,-31801.2502356958,-31801.2502356958,"Europe"
"Middle East",627.924865706899,2917.79842588891,281.934322306943,334.686911880337,2624.56047206234,-11.3036315196189,"Middle East"
"Latin America and Caribbean",4184.1236237472,10237.6656804388,6498.58040840056,4184.1236237472,10237.6656804388,6498.58040840056,"Latin America and Caribbean"
"Eurasia",-10937.2210547486,-9989.72755194493,-11106.2521412992,-12607.8063557244,-11660.3128529207,-12776.837442275,"Eurasia"
"Asia-Pacific Developed",-10992.9284841157,-10158.2117964841,-10977.485236138,-16610.8452852729,-15776.1285976413,-16595.4020372952,"Asia-Pacific Developed"
"China",162.421113653344,23173.2996076629,33.8123025376675,162.421113653344,23173.2996076629,33.8123025376675,"China"
"North Africa",449.38858156576,3083.60838981258,380.957714898962,449.38858156576,3083.60838981258,380.957714898962,"North Africa"
"East Asia and Developing Pacific",3006.08606760414,10892.4460518207,1829.28059959413,3006.08606760414,10892.4460518207,1829.28059959413,"East Asia and Developing Pacific"
"India",25753.5207549763,22218.3245972777,11297.8887885005,25753.5207549763,22218.3245972777,11297.8887885005,"India"
"United States",-38762.9593385084,-38762.9593385084,-38762.9593385084,-37936.3251859278,-37936.3251859278,-37936.3251859278,"United States"
