"","Reg","Vari","Scenario","value"
"1","Southern Asia","PPop_npl_chgrate","Tax",0.059609424329055
"2","Southern Asia","PPop_ipl_chgrate","Tax",0.0539517881547731
"3","Southern Asia","PPop_Gini_chgrate","Tax",-0.00671581632284679
"4","Southern Asia","PPop_npl_chgrate","TaxSA",-0.165428929012586
"5","Southern Asia","PPop_ipl_chgrate","TaxSA",-0.166487710212709
"6","Southern Asia","PPop_Gini_chgrate","TaxSA",-0.0545384935350613
"7","Southern Asia","PPop_npl_chgrate","TaxSAGF",-0.256464177368299
"8","Southern Asia","PPop_ipl_chgrate","TaxSAGF",-0.328265974909796
"9","Southern Asia","PPop_Gini_chgrate","TaxSAGF",-0.0625835716949688
"10","Sub-Saharan Africa","PPop_npl_chgrate","Tax",0.0307826978481573
"11","Sub-Saharan Africa","PPop_ipl_chgrate","Tax",0.0392033166852532
"12","Sub-Saharan Africa","PPop_Gini_chgrate","Tax",-0.00588194705360634
"13","Sub-Saharan Africa","PPop_npl_chgrate","TaxSA",-0.0230630229513527
"14","Sub-Saharan Africa","PPop_ipl_chgrate","TaxSA",-0.0412940557894091
"15","Sub-Saharan Africa","PPop_Gini_chgrate","TaxSA",-0.0230392512671707
"16","Sub-Saharan Africa","PPop_npl_chgrate","TaxSAGF",-0.163527126389591
"17","Sub-Saharan Africa","PPop_ipl_chgrate","TaxSAGF",-0.211398367020553
"18","Sub-Saharan Africa","PPop_Gini_chgrate","TaxSAGF",-0.0312762243580309
"19","Europe","PPop_npl_chgrate","Tax",0.0760356903836825
"20","Europe","PPop_ipl_chgrate","Tax",0.0859020953061091
"21","Europe","PPop_Gini_chgrate","Tax",0.00446979073161402
"22","Europe","PPop_npl_chgrate","TaxSA",-0.0964163447664327
"23","Europe","PPop_ipl_chgrate","TaxSA",-0.359826988058952
"24","Europe","PPop_Gini_chgrate","TaxSA",-0.0422578111175546
"25","Europe","PPop_npl_chgrate","TaxSAGF",-0.0564389390368338
"26","Europe","PPop_ipl_chgrate","TaxSAGF",-0.307591959154622
"27","Europe","PPop_Gini_chgrate","TaxSAGF",-0.0326802469981656
"28","Middle East","PPop_npl_chgrate","Tax",0.0776721799607167
"29","Middle East","PPop_ipl_chgrate","Tax",0.0897950253921942
"30","Middle East","PPop_Gini_chgrate","Tax",-0.00426154955341174
"31","Middle East","PPop_npl_chgrate","TaxSA",-0.0676623168683554
"32","Middle East","PPop_ipl_chgrate","TaxSA",-0.130904713851236
"33","Middle East","PPop_Gini_chgrate","TaxSA",-0.0694521450858178
"34","Middle East","PPop_npl_chgrate","TaxSAGF",-0.117068854021048
"35","Middle East","PPop_ipl_chgrate","TaxSAGF",-0.29319526350599
"36","Middle East","PPop_Gini_chgrate","TaxSAGF",-0.0765839159951933
"37","Latin America and Caribbean","PPop_npl_chgrate","Tax",0.0301887457857803
"38","Latin America and Caribbean","PPop_ipl_chgrate","Tax",0.0525054206661919
"39","Latin America and Caribbean","PPop_Gini_chgrate","Tax",-0.00301679716742376
"40","Latin America and Caribbean","PPop_npl_chgrate","TaxSA",-0.0564306608818537
"41","Latin America and Caribbean","PPop_ipl_chgrate","TaxSA",-0.50114022877299
"42","Latin America and Caribbean","PPop_Gini_chgrate","TaxSA",-0.0392685443444281
"43","Latin America and Caribbean","PPop_npl_chgrate","TaxSAGF",-0.064959651036129
"44","Latin America and Caribbean","PPop_ipl_chgrate","TaxSAGF",-0.53419617516592
"45","Latin America and Caribbean","PPop_Gini_chgrate","TaxSAGF",-0.0417369482106079
"46","Eurasia","PPop_npl_chgrate","Tax",0.272919929753771
"47","Eurasia","PPop_ipl_chgrate","Tax",0.218337744575029
"48","Eurasia","PPop_Gini_chgrate","Tax",-0.00150624005504341
"49","Eurasia","PPop_npl_chgrate","TaxSA",-0.208354334219448
"50","Eurasia","PPop_ipl_chgrate","TaxSA",-0.324941778327606
"51","Eurasia","PPop_Gini_chgrate","TaxSA",-0.100633814301251
